padjScreen t15 t1 t3 t6 t9
Sro1000_g229710 0.284149629270998 NA NA NA NA NA
Sro1000_g229720 0.675320717675594 NA NA NA NA NA
Sro1000_g229730 0.552922358215884 NA NA NA NA NA
Sro1001_g229750 0.633021558911444 NA NA NA NA NA
Sro1001_g229760 0.862249670085332 NA NA NA NA NA
Sro1002_g229820 0.348659043844332 NA NA NA NA NA
Sro1002_g229830 0.570524760370491 NA NA NA NA NA
Sro1002_g229840 0.225566414713577 NA NA NA NA NA
Sro1002_g229860 0.24397199725449 NA NA NA NA NA
Sro1002_g229870 0.0897278972825666 NA NA NA NA NA
Sro1002_g229880 0.923911865794078 NA NA NA NA NA
Sro1002_g229890 0.259835753985403 NA NA NA NA NA
Sro1002_g229900 0.181166117825792 NA NA NA NA NA
Sro1002_g229910 0.170545186511085 NA NA NA NA NA
Sro1002_g229920 0.622320580299358 NA NA NA NA NA
Sro1002_g229930 0.565604053818628 NA NA NA NA NA
Sro1003_g229960 0.631941376343549 NA NA NA NA NA
Sro1003_g229970 0.683574742478286 NA NA NA NA NA
Sro1003_g229980 0.0109954295690072 0.154579352140877 0.0485471264649224 1 1 1
Sro1003_g229990 0.1183590450864 NA NA NA NA NA
Sro1003_g230000 0.0327191157226776 1 1 0.736009257084956 0.511643481379435 0.736009257084956
Sro1003_g230010 0.852533196216737 NA NA NA NA NA
Sro1003_g230020 0.198136834711689 NA NA NA NA NA
Sro1003_g230030 0.25094764617551 NA NA NA NA NA
Sro1003_g230040 0.620263077120117 NA NA NA NA NA
Sro1003_g230050 0.520086864955976 NA NA NA NA NA
Sro1003_g230060 0.821056412579904 NA NA NA NA NA
Sro1003_g230070 0.319794298795779 NA NA NA NA NA
Sro1003_g230080 0.217251275702649 NA NA NA NA NA
Sro1004_g230090 0.309128623476426 NA NA NA NA NA
Sro1004_g230100 0.725343013611874 NA NA NA NA NA
Sro1004_g230110 0.49449178799352 NA NA NA NA NA
Sro1004_g230120 0.192700151794979 NA NA NA NA NA
Sro1004_g230130 0.699419429187992 NA NA NA NA NA
Sro1004_g230150 0.601844681264964 NA NA NA NA NA
Sro1004_g230160 0.789418431333702 NA NA NA NA NA
Sro1005_g230180 0.457358545279072 NA NA NA NA NA
Sro1005_g230230 0.701106819999319 NA NA NA NA NA
Sro1005_g230240 0.297859038895782 NA NA NA NA NA
Sro1005_g230250 0.84473762113634 NA NA NA NA NA
Sro1005_g230270 0.366378638255309 NA NA NA NA NA
Sro1005_g230280 0.932493040848763 NA NA NA NA NA
Sro1006_g230300 0.528117083144732 NA NA NA NA NA
Sro1006_g230310 0.0588352288310415 NA NA NA NA NA
Sro1006_g230320 0.000388520445457834 1 1 1 4.80644938133094e-05 0.641321767630899
Sro1006_g230330 0.33218540916809 NA NA NA NA NA
Sro1006_g230340 0.0339993623954196 1 1 1 0.0565386266796174 1
Sro1007_g230360 0.0617636027023639 NA NA NA NA NA
Sro1007_g230370 0.161018652740461 NA NA NA NA NA
Sro1007_g230380 0.336528977312701 NA NA NA NA NA
Sro1007_g230390 0.130636112466592 NA NA NA NA NA
Sro1007_g230410 0.00439085377660126 0.052504039746843 0.575471816388178 0.76893096079477 1 1
Sro1007_g230420 0.0714227421829662 NA NA NA NA NA
Sro1007_g230430 0.413040164714943 NA NA NA NA NA
Sro1007_g230440 0.24620294297726 NA NA NA NA NA
Sro1007_g230450 0.716090906887207 NA NA NA NA NA
Sro1007_g230460 0.236834405198403 NA NA NA NA NA
Sro1007_g230490 0.873600042782486 NA NA NA NA NA
Sro1008_g230500 0.656686829341051 NA NA NA NA NA
Sro1008_g230510 0.138383034690071 NA NA NA NA NA
Sro1008_g230520 1.23077822072177e-05 1 1 6.6125835346921e-06 0.131174275713098 0.366940771612707
Sro1008_g230530 0.461857488679288 NA NA NA NA NA
Sro1008_g230540 0.259250803118655 NA NA NA NA NA
Sro1008_g230550 0.25286323297748 NA NA NA NA NA
Sro1008_g230560 0.638076604157961 NA NA NA NA NA
Sro1008_g230570 0.348659043844332 NA NA NA NA NA
Sro1008_g230580 0.779794049616816 NA NA NA NA NA
Sro1008_g230590 0.715145940744648 NA NA NA NA NA
Sro1008_g230600 0.0834081574981814 NA NA NA NA NA
Sro1008_g230610 0.479051041229201 NA NA NA NA NA
Sro1008_g230620 0.421128618352949 NA NA NA NA NA
Sro1008_g230640 0.0455153182674548 1 1 1 0.0448663516838722 1
Sro1009_g230650 0.930947964773839 NA NA NA NA NA
Sro1009_g230670 0.0764566071551106 NA NA NA NA NA
Sro1009_g230680 0.305390226463113 NA NA NA NA NA
Sro1009_g230700 0.0686813407242302 NA NA NA NA NA
Sro1009_g230710 0.13357156866682 NA NA NA NA NA
Sro1009_g230720 0.274567703029946 NA NA NA NA NA
Sro1009_g230730 0.0280018965065273 0.281916459472341 1 1 0.189012445406432 1
Sro1009_g230750 0.789418431333702 NA NA NA NA NA
Sro1009_g230770 0.285236369351538 NA NA NA NA NA
Sro100_g051080 0.702389300468827 NA NA NA NA NA
Sro100_g051090 0.0436011698805841 1 0.0469056287328949 1 1 1
Sro100_g051100 0.106274084300423 NA NA NA NA NA
Sro100_g051110 0.849761305724719 NA NA NA NA NA
Sro100_g051120 0.2630160803978 NA NA NA NA NA
Sro100_g051130 0.321878020205116 NA NA NA NA NA
Sro100_g051150 0.0833116385138465 NA NA NA NA NA
Sro100_g051160 0.461903527268823 NA NA NA NA NA
Sro100_g051180 0.962064839843555 NA NA NA NA NA
Sro100_g051210 0.0969069799443267 NA NA NA NA NA
Sro100_g051220 0.0770059586163123 NA NA NA NA NA
Sro100_g051230 0.415687804717525 NA NA NA NA NA
Sro100_g051240 0.203343567237095 NA NA NA NA NA
Sro100_g051260 0.852943497678998 NA NA NA NA NA
Sro100_g051270 0.964423262793326 NA NA NA NA NA
Sro100_g051280 0.465632141119817 NA NA NA NA NA
Sro100_g051290 0.743029488408995 NA NA NA NA NA
Sro100_g051300 0.575408485789885 NA NA NA NA NA
Sro100_g051310 0.696443657335589 NA NA NA NA NA
Sro100_g051330 0.0977625096098716 NA NA NA NA NA
Sro100_g051340 0.0616429191234979 NA NA NA NA NA
Sro100_g051350 0.0188966735797975 1 1 0.152264352816817 0.263507078476449 1
Sro100_g051360 0.0363000365120921 1 1 1 0.0205661049713202 1
Sro100_g051370 0.280611758266843 NA NA NA NA NA
Sro100_g051380 0.996451219013908 NA NA NA NA NA
Sro100_g051390 0.00105972022119931 1 1 1 0.00122430100291437 0.135168826122727
Sro100_g051400 0.756478602321269 NA NA NA NA NA
Sro100_g051420 0.350209872698116 NA NA NA NA NA
Sro100_g051430 0.0369314068186462 1 1 0.966318816109766 0.115597868341222 1
Sro1010_g230780 0.797857777532079 NA NA NA NA NA
Sro1010_g230790 0.262181030927251 NA NA NA NA NA
Sro1010_g230800 0.151576021927915 NA NA NA NA NA
Sro1010_g230810 0.623184962221334 NA NA NA NA NA
Sro1010_g230820 0.32815631521655 NA NA NA NA NA
Sro1010_g230830 0.16245027376051 NA NA NA NA NA
Sro1010_g230840 0.0506986583990483 NA NA NA NA NA
Sro1010_g230850 0.508376623624116 NA NA NA NA NA
Sro1010_g230860 0.387687419241608 NA NA NA NA NA
Sro1010_g230870 2.18267903143703e-44 1 1 3.84836574647566e-18 3.90672731058954e-20 1.00793475769886e-13
Sro1010_g230880 0.970121453307926 NA NA NA NA NA
Sro1010_g230890 0.348315972617385 NA NA NA NA NA
Sro1010_g230900 0.131944081720286 NA NA NA NA NA
Sro1010_g230910 0.584986665534916 NA NA NA NA NA
Sro1010_g230920 0.197110473814593 NA NA NA NA NA
Sro1010_g230930 0.127470700559389 NA NA NA NA NA
Sro1010_g230940 0.051217589604528 NA NA NA NA NA
Sro1010_g230950 0.480541415220962 NA NA NA NA NA
Sro1011_g230960 0.149128613863823 NA NA NA NA NA
Sro1011_g230970 0.197886253393445 NA NA NA NA NA
Sro1011_g230980 0.499568340473574 NA NA NA NA NA
Sro1011_g230990 0.560625408029072 NA NA NA NA NA
Sro1011_g231000 0.0878057056545077 NA NA NA NA NA
Sro1011_g231020 0.100985206744933 NA NA NA NA NA
Sro1011_g231040 0.226008211115279 NA NA NA NA NA
Sro1011_g231080 0.116044827214946 NA NA NA NA NA
Sro1011_g231090 0.0775184198749195 NA NA NA NA NA
Sro1011_g231100 0.351739500632426 NA NA NA NA NA
Sro1012_g231130 0.480772638004969 NA NA NA NA NA
Sro1012_g231140 0.0683565090549725 NA NA NA NA NA
Sro1012_g231150 0.303304000093756 NA NA NA NA NA
Sro1012_g231160 0.0973541161614391 NA NA NA NA NA
Sro1012_g231170 0.837269351680329 NA NA NA NA NA
Sro1012_g231180 0.11730990784704 NA NA NA NA NA
Sro1012_g231190 0.60550656397311 NA NA NA NA NA
Sro1012_g231200 0.248598246301942 NA NA NA NA NA
Sro1012_g231210 0.0345835169719978 1 1 1 1 0.389335081494183
Sro1012_g231220 0.795204009436129 NA NA NA NA NA
Sro1012_g231230 0.740735556093113 NA NA NA NA NA
Sro1012_g231240 0.311004998449004 NA NA NA NA NA
Sro1012_g231250 0.056959873120782 NA NA NA NA NA
Sro1012_g231260 0.230096569636667 NA NA NA NA NA
Sro1012_g231270 0.858035794946122 NA NA NA NA NA
