padjScreen t15 t1 t3
Sro312_g114610 1.36337423054226e-31 1 1 1.34897705624035e-36
Sro292_g109550 9.86318814410559e-31 1 1 2.89228892283924e-35
Sro297_g110830 4.71266574175447e-29 1 4.41435826418903e-14 2.17570542957143e-19
Sro2242_g320420 7.97019982736553e-29 3.01097997852935e-06 3.78093359255819e-07 8.51920748137157e-21
Sro1252_g256250 2.91655476132536e-22 1 1 7.69961917089411e-27
Sro2463_g328430 5.26221700504647e-22 1 0.00107070153745348 2.17899096043836e-23
Sro262_g101970 6.83088713689494e-21 0.539954759836585 1 7.06161331471479e-24
Sro991_g228730 4.82978870309327e-19 0.00399465855627075 0.00112330172164541 2.21319168574402e-18
Sro65_g036560 5.13836123734768e-19 1 1 1.82639249521301e-22
Sro1205_g252310 9.56622061711308e-19 1 0.605208250433671 2.53979869555423e-22
Sro2772_g336780 1.28803040572747e-18 1 0.436769400039042 4.5112872918146e-22
Sro2321_g323190 1.85000218207872e-18 1 1 1.25323343569215e-22
Sro1273_g258300 4.8698664006208e-18 1 0.022217459210006 2.16854685951689e-20
Sro98_g050260 7.33375363652179e-18 1 1 4.62503958809795e-22
Sro274_g105550 1.03257927736212e-17 0.138624193264003 1 2.1399963067357e-20
Sro470_g149450 1.03257927736212e-17 1 1 7.02935757313484e-22
Sro2098_g314390 3.12818772463035e-17 1 1 2.82776475646341e-21
Sro1100_g241330 1.08682887665527e-16 1 0.84390403014375 2.77360613784846e-20
Sro521_g159260 1.08682887665527e-16 0.00792463408343815 0.28678879793442 6.58723096108593e-18
Sro472_g149880 1.10856942469918e-15 1 1 2.83090154062149e-19
Sro804_g204860 1.2187047948227e-15 0.153084064612508 1.0869114013639e-09 5.62235355349957e-08
Sro1162_g247920 2.72705025161227e-15 0.461620114943352 1 3.07699360138959e-18
Sro173_g076310 8.00544610759081e-15 0.000257658913345571 1 4.9160027531898e-15
