UniqueCount	AmbigCount
31	0
197	0
39	0
0	0
13	1
2019	0
0	0
0	0
0	0
0	0
0	0
116	0
187	10
440	0
40	0
11974	0
0	30
4	40
0	40
0	33
1448	0
1204	0
453	0
54	23
40	9
1	13
0	4
0	99
212	374
124	371
33	0
125	0
52	0
328	0
159	0
1014	0
845	0
62	0
792	0
1683	0
704	0
9	0
306	0
90	0
107	0
16	5
4	0
9	25
0	11
491	144
0	0
0	0
0	0
0	0
0	0
0	0
0	0
101	0
3951	0
2757	0
2	0
705	12
613	0
5	7
227	0
32	0
1282	0
1361	0
217	27
0	0
256	1543
0	117
199	370
0	240
0	0
536	1543
12	117
962	370
467	240
2470	0
334	0
2	0
11	46
25	24
1562	0
191	0
189	0
776	0
26	0
5	0
45	0
108	0
159	0
72	0
237	0
136	0
522	0
7	0
1412	0
871	0
0	0
422	0
482	0
15	0
78	0
247	0
11	0
9	0
0	0
180	11
0	1
3	0
465	0
393	0
173	0
68	0
97	0
8	40
0	40
0	0
66	0
0	1509
1266	1509
1	0
209	0
0	0
0	0
62	0
14	0
407	0
226	0
8	0
1619	0
1240	0
454	0
509	0
118	0
132	144
0	144
0	0
40	0
71	0
60	0
552	0
168	0
330	0
1345	0
0	0
5	0
678	0
64	0
4	5
18	159
26	14
1392	12
654	12
112	0
23	0
75	0
209	0
5	0
1078	0
2420	0
263	0
16	0
42	0
453	6
1096	0
44	0
70	0
12	0
170	0
342	0
1212	0
28	0
52	0
6	0
50	0
2	0
0	0
0	0
42	0
552	0
68	0
0	0
4	9
89	0
46	0
40926	0
507	0
17584	0
10	676
0	676
21414	0
193	0
54	0
4806	0
76	0
94	0
108	0
307	0
929	0
12	0
252	17
0	8
1	8
2686	0
0	0
1479	0
160	0
0	0
108	0
3134	0
153	0
26	0
28	0
538	0
325	0
31	0
276	0
173	0
124	0
0	0
0	0
0	0
88	0
0	0
134	0
5327	0
150	0
14	0
88	0
833	0
905	0
0	0
0	0
208	0
4600	137
1	0
8	0
10	0
0	6
20	31
36	20
30	129
1	1
40	0
67	0
287	0
55	0
649	0
0	0
186	67
595	0
382	0
13	2
110	9
0	1
151	457
30233	0
1517	0
318	0
26	1
385	0
1510	0
223	0
1341	0
7	10
0	0
90	0
662	0
275	0
450	531
0	504
587	0
273	0
133	0
725	0
591	0
840	0
176	0
151	0
73	0
29	0
368	0
109	0
152	0
21	0
735	0
137	0
1410	0
69	0
157	0
290	0
308	0
11	0
978	0
21177	0
0	0
292	0
481	0
18	0
78	87
0	87
74	0
162	0
70	0
37	0
49	0
64	0
46	0
0	0
0	0
0	0
0	0
2597	0
134	0
718	0
1	0
112	1
213	0
1558	0
0	0
0	0
2	189
91	11
43	3
1	0
57	18
3	0
22	2
338	15
0	2
2	0
143	0
