UniqueCount	AmbigCount
19	0
112	0
27	0
0	0
18	2
1645	0
0	0
0	0
0	0
0	0
0	0
173	0
94	4
237	0
20	0
8996	0
0	7
0	10
0	10
0	7
841	0
539	0
260	0
38	26
14	0
1	5
0	1
0	58
111	215
172	389
13	0
32	0
13	0
482	0
99	0
809	0
891	0
35	0
770	0
1539	0
397	0
10	0
211	0
76	0
174	0
15	4
1	0
2	6
0	4
304	68
0	0
0	1
0	0
0	0
0	0
0	0
0	0
78	0
3806	0
1362	0
1	0
419	7
312	0
4	9
83	0
32	0
567	0
775	0
116	15
1	0
114	679
0	130
162	334
0	128
0	0
225	679
13	130
831	334
179	128
2468	0
211	0
0	0
4	24
12	10
2028	0
141	0
64	0
517	0
29	0
8	0
11	0
65	0
110	0
114	0
123	0
56	0
276	0
2	0
972	0
718	0
0	0
370	0
360	0
4	0
51	0
127	0
20	0
17	0
0	0
213	9
0	0
1	0
204	0
154	0
84	0
40	0
33	0
9	31
0	31
3	0
39	0
0	1620
1473	1620
0	1
121	0
0	0
0	0
40	0
4	0
208	0
369	0
3	0
791	0
1376	0
278	0
696	0
112	0
232	207
0	207
0	0
13	0
43	0
23	0
332	0
103	0
314	0
746	0
2	0
1	0
451	0
38	0
7	28
14	150
10	1
1000	5
309	5
100	0
27	0
28	0
94	0
2	0
1894	0
2232	0
118	0
31	0
12	0
412	7
744	0
38	0
38	0
7	0
234	0
392	0
876	0
15	0
24	0
0	0
22	0
0	0
0	0
0	0
14	0
1801	0
39	0
0	0
3	5
50	0
14	0
32730	0
352	0
12962	0
7	300
1	300
21147	0
75	0
66	0
4080	0
179	0
38	0
58	0
318	0
519	0
10	0
152	10
0	4
2	4
1512	0
1	0
1301	0
128	0
0	0
57	4
2232	0
109	0
19	0
14	0
456	0
239	0
15	0
115	0
71	0
113	0
0	0
0	0
0	0
139	0
0	0
149	0
3868	0
42	0
32	0
47	0
475	0
491	0
0	0
0	0
126	0
2720	87
2	1
1	1
0	1
1	7
10	11
5	3
9	34
1	0
8	0
55	0
169	0
40	0
667	0
0	0
176	54
440	0
349	0
6	4
48	8
0	0
86	299
29150	0
807	0
303	0
7	0
304	0
1275	0
141	0
1553	0
4	10
0	0
115	0
709	0
180	0
564	578
0	525
668	0
192	0
67	0
685	0
792	0
1636	0
120	0
157	1
47	0
3	0
333	0
35	0
45	0
12	0
2857	0
103	0
1023	0
107	0
73	0
572	0
387	0
6	0
668	0
25542	0
2	0
283	0
245	0
7	0
37	23
0	23
48	0
64	0
30	0
28	0
53	0
69	0
11	0
0	0
0	0
0	0
0	0
1394	0
96	0
367	0
2	0
182	5
323	5
1305	0
0	0
0	0
9	255
35	2
32	1
0	0
108	42
3	0
22	0
176	7
0	0
1	0
194	0
119	0
0	0
0	0
344	0
2085	0
161	0
68	0
1916	0
0	2
24110	6
58	8
217	44
0	3
5	2
0	0
0	0
56	0
34	0
44	0
4	0
37	0
395	0
1	0
10	0
168	0
97	0
250	0
19	0
20	0
23	63
25	3
1	0
379	0
0	0
392	0
44	0
117	0
12	0
362	0
369	0
1	0
0	77
0	0
10149	0
3	0
855	0
443	0
776	0
36	0
879	0
339	0
413	0
665	0
2	0
268	0
0	1
0	1
4	0
8	1
67	0
0	0
0	0
462	0
6049	0
168	0
1143	0
3402	0
29	0
0	0
0	0
163	0
1726	0
112	0
57	0
63	0
174	0
33	0
584	0
705	0
1	0
177	0
0	0
9	0
2569	0
103	0
69	0
747	0
446	0
106	0
37	0
90	0
0	0
176	0
435	0
141	0
0	0
2	5
49	0
416	0
510	0
207	0
391	0
66	0
1270	0
0	0
0	0
819	0
119	0
1959	0
373	0
4	0
1166	0
2099	0
882	0
774	0
26	0
102	0
1659	0
9	4
15	25
558	0
1428	0
21	0
175	0
19	0
94	0
4873	0
221	0
72	0
345	0
126	0
0	4
1	4
153	0
17	0
15	0
1881	0
20	0
90	0
13	11
204	246
1	11
171	246
35	0
27	0
40	0
1980	0
458	0
150	0
0	0
8995	10
289	0
12	0
4219	0
195	0
6	0
5	0
8	0
37	0
45	0
54	69
5	1
3700	432
12	0
1872	99
876	0
1	4
116	0
56	0
0	0
843	0
9	0
8	0
17	0
996	0
236	0
1875	0
1	0
0	0
243	77
35	0
100	43
0	0
23	60
26	60
24	0
11	0
9	0
35	0
51	0
0	0
0	0
166	0
1578	162
32	0
76	0
11	0
57	0
1247	0
54	0
4247	0
105	0
82	0
10	7
499	0
7	0
7	60
39	47
1	0
86	0
6	0
0	0
460	0
0	7
1	7
14	0
4	9
5	0
0	8
5	0
0	0
81	0
41	0
69	0
78	0
303	2
44	0
209	0
0	0
0	1
0	4
6	4
112	0
38	0
1	0
154	0
752	0
1	0
166	0
241	0
0	0
166	0
0	0
273	0
2	0
6	0
5	0
112	2
16	0
7	1
166	0
4635	0
220	0
11	0
33	0
1	3
19	0
46	0
163	0
26	0
274	0
94	0
217	0
39	0
424	0
1	0
60	103
1216	0
1551	0
420	0
535	0
13	0
85	0
2703	0
138	0
251	0
1375	0
0	141
46	141
0	0
16	0
329	0
119	0
4856	0
151	0
26	62
0	62
75	0
40	0
332	0
7	0
54	0
29	0
44	0
2386	0
169	0
161	0
123	0
14	0
319	0
113	0
309	0
31	0
22	0
85	0
1	0
312	0
336	0
128	0
1	0
3	0
16	8
7	1
0	0
0	0
1	0
0	0
0	0
0	4
118	59
0	5
0	5
35	30
4	0
1	3
423	0
237	0
122	0
16	0
12	0
5	0
2	0
55	0
5699	0
2	1
710	0
2899	0
417	0
301	0
52	0
430	496
0	496
96	0
99	33
0	33
475	0
0	0
42	6
161	0
371	0
635	0
321	0
5	0
1	0
1931	0
338683	73
32	0
810	0
55	0
72	0
50	57
60	0
76	2
305	0
2234	0
15	0
1	0
0	0
0	0
99	0
185	0
0	0
2	0
53	5
7	0
1	0
30	0
2	0
1556	0
10	0
2	0
82	0
0	0
624	32
540	0
7	0
1	0
40	0
56	3
28	39
0	142
30	65
0	0
0	34
39	34
51	0
32	0
84	0
31	0
8125	1
69	1
253	0
112	0
4291	1855
292	0
6	17
0	17
237	0
212	0
2	0
4	0
53	0
46	99
0	99
236	0
785	0
7	0
65	0
2621	0
184	0
37	0
0	0
0	0
386	0
188	0
570	0
145	0
317	0
185	0
161	0
3434	0
8	0
92	0
796	0
51	0
247	0
78	0
165	0
1803	0
0	48
0	32
30	48
263	0
36	0
341	0
287	0
305	0
80	0
333	0
157	0
174	0
813	0
288	0
159	0
1187	0
836	0
2720	0
0	0
592	0
670	0
154	0
23	0
361	0
142	0
522	0
5	0
3018	0
37	0
427	0
25	60
0	60
14	0
18	0
17	0
1585	0
1	0
1873	0
29	96
100	0
0	9
0	17
6	96
6	0
32	2
126	74
0	0
37	6
0	0
6	0
2	0
238	0
189	0
3	0
153	0
1100	68
4	0
75	24
0	0
165	0
985	4136
0	4136
5	0
1676	0
1770	208
4088	0
32	0
55	0
16	0
109	0
1	0
1	0
1	1
1482	0
0	0
0	0
181	0
180	0
0	0
4	0
1	0
153	70
0	69
27	0
15	257
0	0
0	0
483	0
2985	0
0	0
16	15
22	0
20	0
0	0
29	6
61	0
2159	0
222	0
1	0
2	0
186	138
0	138
813	0
2568	0
5831	0
15	0
7	0
429	178
1569	0
3121	0
256	0
54	0
310	0
40	0
28	87
2	279
27	31
2	31
0	0
0	22
2	22
55	0
11	0
2	0
32	0
8	0
0	0
0	0
166	27
94	67
36	35
1007	22
77	0
32	2
212	0
137	0
1	0
0	0
28	0
3	0
58	0
55	0
226	0
0	0
25	0
0	0
16	0
178	0
103	0
774	0
628	0
571	0
19	0
22	0
399	0
40	0
0	0
975	0
800	0
13	0
5	0
565	0
936	0
520	0
28	0
1759	0
79	0
684	0
2419	0
68	63
0	61
0	63
46	0
2	0
434	0
1	0
10	0
2	0
591	0
21	0
1	0
7	0
0	0
0	2
0	0
0	0
188	0
0	51
17	51
165	0
280	0
512	0
441	0
0	0
241	0
34	0
71	0
19	0
25	0
1	0
232	0
371	0
0	0
0	0
24	0
318	0
66	0
1030	0
14	0
8367	0
221	108
0	108
74	0
1800	0
95	0
13	0
15	0
3943	0
712	0
92	0
46	0
17	0
497	0
8	0
22	0
253	0
121	0
45	0
278	0
13	0
10	0
1	0
0	9
8	9
1507	0
608	0
0	0
385	0
11	0
53	0
51	0
70	0
486	0
279	2
25	0
1	0
1	0
654	0
17	0
309	0
21	0
268	0
87	0
78	0
23	0
79	0
0	0
0	0
0	3
1	0
1	0
26	0
0	0
134	13
761	0
266	0
216	0
0	0
2	23
1	23
345	0
81	0
16	0
0	0
2949	0
28658	0
1	0
2	0
133	0
2	0
11	0
21	26
25	0
13	0
11	0
3	0
5	0
0	0
50	0
7	0
8	0
21	0
43	0
1	1
0	3
0	37
0	0
419	0
193	0
0	0
13	0
66	0
40	0
30	0
0	0
0	0
0	0
67	0
197	0
11727	0
72	0
1	7
385	0
20	0
10256	0
37	0
1	0
85	0
67	0
80	0
2	0
0	0
252	0
0	1
23	0
36953	0
1447	0
658	0
4	36
0	36
0	0
0	0
0	0
2494	0
403	0
243	0
191	0
417	0
21	0
11	34
50	48
128	0
0	0
0	0
21	0
6	0
1036	0
36	4
26	0
57	0
2	0
59	0
17	44
0	44
14	0
0	3
0	0
48	0
22	0
8	0
7	0
2	0
263	0
35	0
62	0
35	0
641	0
16	0
264	0
251	0
0	0
0	1
24	3
34	0
0	0
145	37
1559	0
116	3
2	0
959	4
0	0
893	0
3	0
0	0
0	0
0	0
58	0
187	390
0	390
463	0
3	0
263	0
10	0
398	15
105	26
0	0
931	30
3	0
0	0
157	0
881	0
2	0
1	0
3	4
70	28
9	415
0	0
0	0
0	0
0	0
1	0
6	0
3910	0
29	0
0	0
40	4
0	0
0	0
512	0
5	0
18	0
181	0
1	0
127	0
60	0
1	0
3	0
26	0
74	0
2871	0
10	131
1	131
0	300
182	300
1573	0
75	0
1	0
0	0
21	0
233	0
291	0
0	245
351	245
0	156
175	0
250	0
1	0
162	0
39	0
0	0
13	14
1	0
349	0
108	0
7	0
12	0
0	0
0	0
0	0
0	0
124	0
111	0
269	0
8	0
97	0
38	0
1056	1
9	0
65	0
14	0
276	0
0	0
6	0
77	0
28	0
21	0
48	0
0	0
0	0
102	1
43	0
28	0
237	0
0	0
4	0
0	0
27	0
119	0
98	0
0	0
0	0
0	0
134	0
31	0
58	0
58	0
47	0
24	0
7	0
330	0
0	0
3	0
154	0
140	19
7	1
31	0
0	0
132	372
356	0
369	0
12427	0
520	0
52	0
0	6
4	6
1547	0
51	0
4666	0
1221	0
0	177
453	673
1	0
75	0
23	0
161	0
9	0
0	0
1	0
395	0
0	0
0	27
0	53
52	22
15	212
15	213
1173	404
19	2
0	0
0	0
131	0
19	0
267	0
209	0
59	0
5	0
247	0
2	0
19	0
465	7
1238	0
48	0
62	0
2283	0
5863	0
81	0
270	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
153	0
32	1
140	0
197	0
73	0
0	1
0	1
21	0
429	116
0	0
0	0
2143	112
21	0
5	0
305	0
89	0
3	2
238	0
11	0
2	0
55	23
14	0
1660	0
97	0
49	0
17	0
