UniqueCount	AmbigCount
132	0
71	0
31	0
0	0
40	8
2300	0
0	0
0	0
0	0
0	0
0	0
165	0
96	4
283	0
11	0
8565	0
0	8
1	10
0	10
0	8
1261	1
763	0
364	0
63	19
6	2
0	5
0	0
0	58
190	296
101	278
17	0
43	0
30	0
473	0
142	0
650	0
1366	0
85	0
974	0
1110	0
533	0
28	0
273	0
112	0
113	0
13	3
2	0
15	17
0	8
292	60
0	0
0	1
2	0
0	0
0	0
0	0
0	0
119	0
6375	0
2092	0
1	0
397	15
394	0
14	4
19	0
44	0
745	0
1148	0
129	32
0	0
146	924
0	61
119	286
0	173
0	0
270	924
7	61
784	287
313	173
2386	0
236	0
0	0
9	34
11	18
1830	0
133	0
82	0
479	0
22	0
6	0
24	0
79	0
82	0
93	0
155	0
61	0
299	0
3	0
991	0
596	0
0	0
239	0
719	0
9	0
79	0
127	0
18	0
13	0
0	0
276	20
2	0
5	0
629	0
275	0
86	0
90	0
175	0
4	21
0	21
2	0
78	0
0	1371
976	1371
1	0
244	0
0	0
0	0
57	0
8	0
284	0
289	0
1	0
1022	0
984	0
231	0
537	0
123	0
122	116
0	116
0	0
69	0
262	0
96	0
607	0
209	0
347	0
1353	0
2	0
4	0
472	0
62	0
0	18
11	82
5	2
841	11
441	11
97	0
20	0
31	0
86	0
1	0
928	0
1689	0
227	0
10	0
50	0
382	4
821	0
47	0
36	0
28	0
184	0
319	0
1479	0
14	0
15	0
6	0
28	0
0	0
0	0
0	0
17	0
463	0
98	0
0	0
4	3
64	0
37	0
30719	0
320	0
14619	0
11	570
1	570
15633	0
178	0
46	0
4268	0
120	0
89	0
44	0
387	0
557	0
6	0
392	36
0	31
6	31
1310	0
2	0
1129	0
217	0
0	0
49	1
2934	0
156	0
14	0
9	0
367	0
180	0
15	0
128	0
101	0
197	0
0	0
0	0
0	0
84	0
0	0
99	0
4204	0
64	0
25	0
52	0
837	0
623	0
0	0
0	0
146	0
3012	72
17	0
16	0
0	0
0	7
15	10
13	16
8	12
0	0
2	0
35	0
188	0
20	0
704	0
0	0
47	53
397	0
231	0
9	2
76	7
0	1
194	448
25137	0
861	0
720	0
22	0
501	0
1637	0
118	0
992	0
1	8
0	0
128	0
605	0
202	0
246	339
0	328
401	0
225	0
91	0
591	0
286	0
980	0
246	0
112	0
77	0
13	0
484	0
52	0
84	0
20	0
1726	0
43	0
987	0
142	0
75	0
204	0
385	0
19	0
680	0
19969	0
0	0
202	0
284	0
26	0
83	87
0	87
90	0
131	0
61	0
22	0
69	0
109	0
23	0
0	0
0	0
0	0
0	0
1901	0
52	0
386	0
1	0
101	7
464	7
1359	0
0	0
0	0
4	217
52	8
26	1
1	0
105	57
3	0
16	0
292	13
2	0
0	0
147	0
108	0
0	0
0	0
197	0
3399	0
249	0
98	0
1490	0
0	0
15227	2
63	14
177	77
7	3
1	0
0	0
0	0
41	0
71	0
56	0
0	0
90	0
414	0
1	0
8	0
104	0
130	0
194	0
22	0
16	0
23	25
17	4
4	0
230	0
6	0
262	0
49	0
119	0
4	0
412	0
314	0
3	0
0	57
0	0
6272	0
3	0
752	0
453	0
660	0
52	0
676	0
415	0
676	0
1057	0
7	0
507	0
0	15
0	15
1	0
6	4
128	0
0	0
0	0
441	0
5298	0
272	0
1345	0
4137	0
41	0
0	0
0	0
246	0
2573	0
73	0
51	0
60	0
187	0
31	0
620	0
972	0
3	0
91	0
2	0
18	3
2766	0
209	0
65	0
869	0
770	0
123	0
48	0
92	0
0	0
168	0
372	0
197	0
0	0
0	0
52	0
410	0
491	0
206	0
345	0
71	0
1600	0
0	10
0	10
619	0
91	0
1175	0
313	0
3	0
696	0
1927	0
809	0
276	0
32	0
95	0
2269	0
14	1
16	40
509	0
1557	0
38	0
191	0
32	0
36	0
5680	0
242	0
60	0
391	0
134	0
0	21
6	21
53	0
36	0
14	0
2129	0
10	0
139	2
12	11
210	321
0	11
190	321
44	0
21	0
100	0
3588	0
1006	0
222	0
0	0
7695	9
294	0
12	0
4239	0
180	0
8	0
3	0
9	0
56	0
67	0
45	60
20	1
4729	570
11	0
2545	126
910	0
3	2
278	0
52	0
3	0
1173	0
15	0
11	0
40	0
366	0
415	0
903	0
6	0
0	0
213	74
23	0
56	17
0	0
14	26
42	26
12	0
7	0
11	0
37	0
16	0
0	0
0	0
348	0
1740	198
57	0
14	0
20	0
21	0
977	0
90	0
4040	0
164	0
88	0
29	15
453	0
13	0
17	110
37	83
0	0
21	0
2	0
0	0
1192	0
0	18
9	18
77	0
1	13
3	0
0	31
6	0
0	0
95	0
67	0
106	0
116	0
647	0
65	0
177	0
0	1
0	5
0	16
9	16
236	0
23	0
2	0
134	0
816	0
6	0
172	0
237	0
0	0
173	0
0	0
384	0
0	0
7	0
1	0
104	10
3	0
5	0
0	0
7163	0
322	0
8	0
40	0
2	3
28	0
23	0
27	0
32	0
409	0
247	0
141	0
30	0
1594	0
1	0
36	49
1516	0
1539	0
500	0
598	0
6	0
55	0
1822	0
301	0
207	0
1690	0
0	327
67	327
4	0
7	0
335	0
155	0
4371	0
166	0
39	122
0	122
201	0
58	0
298	0
17	0
81	0
38	0
87	0
1984	0
147	0
174	0
138	0
29	0
446	0
291	0
276	0
48	0
29	0
132	1
2	0
361	0
535	0
93	0
7	0
9	0
17	18
10	0
0	0
0	0
0	1
0	1
0	0
1	8
207	91
0	5
0	5
30	34
0	0
15	2
484	0
251	0
101	0
28	0
33	0
3	0
3	0
119	0
9675	0
4	2
705	0
4584	0
693	0
329	0
180	0
407	828
0	828
88	0
221	62
0	62
573	0
0	0
24	11
204	0
297	0
757	0
390	0
2	0
2	0
2145	0
268358	74
36	0
666	0
12	0
93	0
97	93
64	0
58	0
529	0
1383	0
12	0
0	0
0	0
0	0
135	0
137	0
0	0
0	0
60	22
13	0
19	0
132	0
10	0
1892	0
27	2
1	0
59	0
0	0
645	18
946	0
2	0
1	0
35	0
58	9
31	43
0	215
35	100
0	0
0	128
90	128
169	0
35	0
108	0
58	0
9085	1
96	1
385	0
66	0
4073	2657
376	0
8	12
0	12
181	0
273	0
10	0
28	0
45	0
45	77
0	77
274	0
488	0
32	0
136	0
488	0
213	0
35	0
0	0
1	0
350	0
215	0
1807	0
237	0
456	0
201	0
252	0
3311	0
10	0
81	0
935	0
98	0
513	0
96	0
156	0
2030	0
0	83
0	50
43	83
163	0
48	0
411	0
362	0
276	0
80	0
247	0
195	0
196	0
1367	0
432	0
219	0
1340	0
1031	0
1873	0
1	0
447	0
1188	0
260	0
83	0
637	0
178	0
690	0
5	0
2040	0
33	0
341	0
34	83
0	83
12	0
53	0
19	0
1600	0
1	0
1372	0
23	55
90	0
0	7
0	8
1	55
11	4
105	28
111	94
2	0
70	8
12	3
1	0
17	0
282	0
174	0
5	0
64	0
905	34
3	0
46	16
0	0
196	0
1263	6729
0	6729
16	0
2412	0
2065	303
5010	0
165	0
103	0
15	0
198	0
0	0
0	0
0	2
2109	0
0	0
0	0
68	0
661	0
0	0
3	0
1	0
60	58
0	58
27	0
6	369
0	0
0	0
707	0
3344	0
1	0
27	22
33	0
19	1
0	0
28	3
81	0
1770	0
305	0
1	0
3	0
344	286
0	286
1573	0
4163	0
3700	0
17	0
15	1
650	213
1395	0
4013	0
213	0
68	0
272	0
125	0
47	55
0	271
16	22
4	22
0	0
0	18
1	18
12	0
29	0
2	0
36	0
30	0
0	0
0	0
95	39
67	55
38	29
911	27
108	0
34	0
306	0
293	0
9	0
4	0
15	0
5	0
53	0
22	0
185	0
0	0
9	0
0	0
29	0
296	0
117	0
1038	0
521	0
438	0
32	0
19	0
567	1
102	0
0	0
973	0
1325	0
11	0
0	0
850	0
1702	0
1012	0
23	0
2801	0
73	0
561	0
2575	0
40	45
0	45
0	45
44	0
0	0
414	0
0	0
23	0
0	0
795	0
11	0
0	0
10	0
0	2
0	4
1	0
0	0
228	0
0	57
12	57
91	0
673	0
782	0
608	0
1	0
268	0
40	0
338	0
35	0
33	0
1	0
382	0
213	0
0	0
1	0
151	0
551	0
75	0
903	0
