UniqueCount	AmbigCount
33	0
94	0
18	0
0	0
8	1
2436	0
0	0
0	0
0	0
0	0
0	0
203	0
81	7
359	0
33	0
7577	0
0	9
4	11
0	11
0	10
365	0
4304	0
185	0
2	0
261	66
5	71
0	0
0	66
211	279
248	461
18	0
2	0
1	0
994	0
21	0
1489	0
3731	0
308	0
1224	0
1862	0
1379	0
53	0
431	2
1323	0
1070	0
15	2
115	0
15	15
0	5
490	89
0	0
0	11
3	0
0	0
0	0
0	0
0	0
41	0
12991	1
2379	0
0	0
157	4
384	0
36	42
120	0
130	0
9	0
1010	0
195	15
2	0
215	1296
0	79
74	141
0	118
0	0
483	1296
4	79
446	141
245	118
2647	0
291	0
1	0
11	23
13	14
1060	0
166	0
145	0
1206	0
4	0
1	0
4	0
46	0
75	0
98	0
305	0
93	0
411	0
4	0
431	0
559	0
0	0
314	0
630	0
1	0
36	0
388	0
36	0
2	0
0	0
200	13
0	0
2	0
103	0
272	0
133	0
36	0
32	0
8	23
0	23
2	0
35	0
0	1334
1278	1334
0	0
273	0
0	0
0	0
86	0
6	0
307	0
113	0
5	0
178	0
1253	0
356	0
391	0
74	0
232	184
0	184
0	0
9	0
600	0
572	0
16	0
290	0
745	0
26	0
0	0
8	0
1846	0
42	0
8	43
15	184
0	1
1566	19
525	19
59	0
14	0
15	0
104	0
927	0
908	0
558	0
70	0
3	0
12	0
168	3
323	0
12	0
94	0
1	0
25	0
319	0
5333	0
16	0
16	0
1	0
22	0
0	0
0	0
0	0
8	0
141	0
44	0
3	0
2	5
80	0
34	0
26691	0
925	0
15019	0
1	85
0	85
12115	0
28	0
10	0
423	0
92	0
49	0
3	0
1111	0
320	0
13	0
254	23
0	35
5	35
823	0
6	0
1188	0
304	0
0	0
35	2
3994	0
183	0
21	0
44	0
769	0
328	0
30	0
132	0
173	0
360	0
0	1
0	0
0	0
444	0
1	0
25	0
6840	0
92	0
8	0
35	0
658	0
910	0
0	0
0	0
313	0
3709	108
1	0
3	0
1	0
0	6
22	21
19	33
13	63
1	1
19	0
66	0
45	0
107	0
975	0
0	0
23	24
220	0
307	0
9	8
214	18
0	0
284	842
49665	0
1097	0
278	0
3	0
214	0
1124	0
227	0
2038	0
11	16
0	0
106	0
1540	0
375	0
453	509
0	487
380	0
204	0
75	0
1051	0
1048	0
97	0
131	0
179	0
9	0
6	0
303	0
281	0
114	0
17	0
2198	0
104	0
997	0
26	0
1	0
79	0
192	0
13	0
683	0
6402	0
0	0
34	0
205	0
9	0
49	20
0	20
89	0
30	0
73	0
10	0
67	0
104	0
23	0
0	0
0	0
0	0
0	0
1034	0
64	0
10	0
8	0
598	24
1300	27
1549	0
0	0
0	0
13	238
19	1
26	1
0	0
20	8
13	0
0	0
241	10
1	0
1	0
69	0
20	0
0	0
0	0
290	0
4070	0
182	0
103	0
1060	0
0	3
6302	1
16	1
286	82
5	2
2	5
0	0
0	0
19	0
23	0
28	0
1	0
103	0
429	0
1	0
9	0
178	0
77	0
319	0
49	0
10	0
16	24
41	3
2	0
297	0
3	0
783	0
130	0
37	0
2	0
14910	0
115	0
1	0
0	9
4	3
5698	0
9	0
1034	0
185	0
406	0
25	0
1361	0
397	0
235	0
290	0
4	0
374	0
0	3
2	3
1	0
6	4
176	0
0	0
0	0
660	0
8093	0
188	0
982	0
2248	0
24	0
0	0
0	0
7	0
2885	0
130	0
48	0
52	0
237	0
47	0
744	0
877	0
0	0
30	0
0	0
7	0
4524	0
56	0
6	0
719	0
2356	0
3	0
37	0
3	0
0	0
0	0
577	0
219	0
0	0
1	0
139	0
549	0
817	0
235	0
131	0
3	0
42	0
0	2
0	2
401	0
82	0
701	0
652	0
0	0
1009	0
6390	0
338	0
491	0
54	0
61	0
1555	0
1	1
69	166
1340	0
1977	0
1	0
200	0
97	0
17	0
9765	0
484	0
132	0
356	0
253	0
0	6
3	6
49	0
19	0
4	0
3000	0
88	0
70	3
7	12
276	356
2	12
373	356
58	0
11	0
107	0
4467	0
1102	0
145	0
4	0
13128	11
160	0
22	0
3739	0
331	0
0	0
2	0
11	0
22	0
57	0
30	51
13	1
2976	292
2	0
79	3
1022	0
0	2
62	0
96	0
6	0
543	0
6	0
5	0
189	0
1878	0
767	0
886	0
9	0
0	0
289	76
6	0
31	12
0	0
33	65
79	65
8	0
0	0
7	0
30	0
22	0
0	0
0	0
397	0
3102	382
2	0
12	0
31	0
5	0
49	0
65	0
2870	0
13	0
98	0
5	9
1606	0
44	1
1	6
31	47
0	0
30	0
1	0
162	0
610	0
0	0
2	0
9	0
5	22
1	0
0	1
18	0
0	0
121	0
0	0
65	0
91	0
552	0
35	0
223	0
0	20
0	0
0	23
29	23
324	0
23	0
6	0
93	0
619	0
3	0
182	0
261	0
0	0
316	0
1	0
606	0
4	0
2	0
1	0
177	10
2	0
8	0
322	0
4448	0
8	0
5	0
5	0
4	8
63	0
24	0
99	0
72	0
21	0
28	0
262	0
274	0
3487	0
0	0
95	62
2108	0
1692	0
43	0
538	0
15	0
32	0
4484	0
357	0
35	0
1762	0
0	161
46	161
1	0
3	0
333	0
48	0
2979	0
112	0
33	70
0	70
47	0
80	0
382	0
14	0
64	0
200	0
36	0
2240	0
129	0
82	0
115	0
7	0
305	0
111	0
365	0
1	0
3	0
34	0
0	0
495	0
298	0
320	0
34	0
9	0
39	14
17	1
0	0
0	0
0	0
0	1
0	0
3	2
1835	949
