UniqueCount	AmbigCount
14	0
91	0
67	0
0	0
3	0
2180	0
0	0
0	0
0	0
0	0
0	0
345	0
240	21
1544	0
58	0
7897	0
0	14
6	18
0	18
0	14
232	0
5698	0
147	0
9	8
302	66
15	101
0	0
0	37
86	124
184	368
9	0
2	0
5	0
1710	0
36	0
1051	0
5385	0
448	0
2123	0
1941	0
1295	0
37	0
493	0
641	0
715	0
23	2
6	0
2	5
0	1
198	41
0	0
0	5
1	0
0	0
0	0
0	0
0	0
39	0
11440	0
4698	0
0	0
120	3
494	0
12	10
15	0
155	0
9	0
974	0
200	19
0	0
61	512
0	144
44	92
0	306
0	0
184	512
13	144
249	92
336	306
4945	0
74	0
0	0
3	10
7	5
744	0
409	0
32	0
595	0
6	0
5	0
4	0
119	0
168	0
352	0
82	0
16	0
407	0
3	0
153	0
535	0
0	0
901	0
648	0
1	0
24	0
133	0
4	0
0	0
0	0
453	28
1	0
25	0
790	0
74	0
26	0
49	0
19	0
6	17
0	17
1	0
30	0
0	1776
1433	1776
0	0
465	0
0	0
0	0
114	0
3	0
594	0
335	0
2	0
169	0
1827	0
93	0
1326	0
48	0
202	262
0	262
0	0
18	0
840	0
62	0
37	0
266	0
183	0
80	0
0	0
2	0
669	0
16	0
31	125
39	445
2	2
644	6
250	6
427	0
84	0
57	0
58	0
459	0
2885	0
614	0
62	0
7	0
15	0
203	6
610	0
26	0
434	0
2	0
25	0
990	0
2785	0
9	0
13	0
0	0
42	0
0	0
0	0
0	0
1	0
59	0
49	0
0	0
2	5
224	0
129	0
17134	0
1395	0
13297	0
2	76
0	76
13156	0
46	0
17	0
520	0
239	0
155	0
9	0
1262	0
309	0
12	0
583	53
0	50
6	50
145	0
0	0
451	0
130	0
0	0
59	0
5483	0
358	0
45	0
11	0
1042	0
300	0
69	0
55	0
35	0
441	0
0	1
0	0
0	0
504	0
0	0
70	0
3598	0
85	0
6	0
8	0
450	0
907	0
0	0
0	0
224	0
1657	53
7	0
4	0
5	0
2	9
2	3
0	2
6	14
0	0
2	0
32	0
21	0
73	0
675	0
0	0
12	23
123	0
67	0
6	4
44	5
0	0
276	599
59081	0
954	0
328	0
5	0
295	0
287	0
283	0
1351	0
17	18
0	0
176	0
3091	0
581	0
1323	1488
0	1387
1129	0
504	0
191	0
760	0
1632	0
156	0
775	0
428	2
97	0
11	0
758	0
192	0
45	0
10	0
2670	0
330	0
1587	0
17	0
0	0
91	0
1117	0
61	0
636	0
6685	0
0	0
230	0
54	0
8	0
12	17
0	17
26	0
92	0
166	0
39	0
31	0
45	0
5	0
0	0
0	0
0	0
0	0
710	0
37	0
20	0
7	0
506	14
968	14
2270	0
0	0
0	0
8	456
8	2
6	0
0	0
50	28
21	0
4	0
238	14
1	0
0	0
32	0
259	0
0	0
0	3
352	0
3082	0
363	0
206	0
1290	0
0	2
4158	1
66	10
684	176
71	36
0	4
0	0
0	0
17	0
33	0
17	0
0	0
148	0
321	0
1	0
4	0
75	0
46	0
408	0
75	0
18	0
27	48
152	28
5	0
615	0
6	0
420	0
122	0
41	0
5	0
1877	0
165	0
1	0
0	18
9	4
4144	0
12	0
214	0
100	0
173	0
51	0
728	0
1010	0
297	0
255	0
3	0
617	0
1	15
0	15
1	0
3	1
272	0
0	0
0	0
1127	0
8392	0
186	0
1187	0
1160	0
17	0
0	0
0	0
4	0
2478	0
92	0
274	0
269	0
299	0
25	0
216	0
719	0
0	0
13	0
1	0
7	0
4413	0
31	0
5	0
206	0
1377	0
7	0
36	0
0	0
0	0
0	0
192	0
242	0
0	0
2	0
409	0
451	0
614	0
109	0
30	0
3	0
117	0
0	1
0	1
89	0
124	0
1051	0
2245	0
1	0
1825	0
2243	0
250	0
142	0
97	0
118	0
4442	0
0	0
46	98
1452	0
3342	0
0	0
367	0
69	0
85	0
8997	0
281	0
107	0
481	0
204	0
0	2
2	2
208	0
44	0
8	0
6074	0
48	0
82	0
10	8
220	277
2	8
148	277
16	0
13	0
152	0
2562	0
981	0
589	0
1	0
7802	7
201	0
18	0
3489	0
554	0
2	0
0	0
2	0
5	0
48	0
95	160
3	2
1711	193
1	0
59	1
