UniqueCount	AmbigCount
34	0
135	0
32	0
0	0
12	2
1678	0
0	0
0	0
0	0
0	0
0	0
133	0
106	5
302	0
49	0
5831	0
0	7
5	18
0	18
0	9
351	0
4107	0
322	0
7	4
353	88
14	94
0	0
0	93
170	237
180	376
7	0
4	0
4	0
275	0
35	0
1811	0
1644	0
282	0
733	0
1792	0
1209	0
72	0
432	2
783	0
1050	0
24	2
45	0
20	27
0	16
747	124
0	0
0	24
2	0
0	0
0	0
0	0
0	0
32	0
8994	1
2514	0
1	0
323	4
439	0
15	12
41	0
111	0
23	0
979	0
251	28
0	0
74	469
0	91
65	131
0	132
0	0
194	469
11	91
427	132
245	132
2200	0
286	0
0	0
7	40
10	16
587	0
157	0
228	0
1212	0
8	0
2	0
9	0
30	0
159	0
78	0
295	0
167	0
477	0
8	0
440	0
660	0
0	0
428	0
573	0
8	0
110	0
472	0
45	0
5	0
2	0
214	19
0	1
3	0
104	0
309	0
205	0
61	0
33	0
12	49
0	49
8	0
21	0
0	903
896	903
0	0
128	0
0	0
0	0
34	0
14	0
329	0
216	0
6	0
248	0
776	0
424	0
471	0
74	0
244	181
0	181
0	0
10	0
494	0
437	0
21	0
352	0
1176	0
53	0
0	0
8	0
1333	0
32	0
6	18
26	227
6	1
1507	9
425	9
82	0
13	0
28	0
141	0
604	0
525	0
813	0
98	0
4	0
22	0
168	2
299	0
30	0
147	0
4	0
41	0
351	0
2539	0
15	0
11	0
1	0
62	0
0	0
0	0
0	0
8	0
166	0
24	0
3	0
7	4
77	0
32	0
23866	0
915	0
11817	0
7	118
0	118
8727	0
53	0
9	0
361	0
105	0
81	0
10	0
784	0
391	0
12	0
78	9
0	7
1	9
3127	2
6	0
1614	0
328	0
0	0
77	1
2886	0
186	0
30	0
70	0
931	0
480	0
29	0
255	0
206	0
229	0
0	0
0	0
0	0
171	0
0	0
18	0
6090	0
193	0
14	0
70	0
789	0
1064	0
0	0
0	0
349	0
3965	110
3	0
3	0
5	0
2	2
21	21
33	33
11	54
0	2
8	0
136	0
80	0
301	0
1370	0
0	0
25	39
243	0
256	0
31	8
247	17
1	0
286	833
47499	0
1386	0
278	0
7	0
241	0
1028	0
188	0
1679	0
3	21
0	2
85	0
869	0
398	0
556	570
0	517
460	0
248	0
76	0
1555	0
1529	0
117	0
119	0
280	4
31	0
18	0
196	0
456	0
248	0
24	0
1207	0
181	0
1509	0
24	0
2	0
88	0
98	0
17	0
489	0
3322	0
0	0
70	0
336	0
16	0
78	59
0	59
119	0
34	0
129	0
31	0
52	0
58	0
27	0
0	0
0	0
0	0
0	0
754	0
152	0
27	0
12	0
795	14
901	16
1638	0
0	0
0	0
1	119
33	2
51	3
0	0
17	10
3	0
10	1
296	8
1	1
0	0
64	0
23	0
0	0
0	0
353	0
4435	0
247	0
194	0
841	0
0	2
4029	0
13	2
316	94
19	4
8	16
0	0
0	0
28	0
67	0
47	0
3	0
77	0
650	0
0	0
12	0
272	0
122	0
426	0
69	1
18	1
16	28
36	3
2	0
178	0
3	0
888	0
130	0
85	0
20	0
7635	0
237	0
4	0
1	10
6	4
6210	0
13	0
1295	0
191	0
508	0
52	0
3328	0
131	0
337	0
523	0
1	0
147	0
0	3
0	3
1	0
17	7
62	0
0	0
0	0
467	0
7296	0
115	0
828	0
2208	0
22	0
0	0
0	0
19	0
1524	0
188	0
77	0
82	0
414	0
153	0
715	0
860	0
1	0
36	0
2	0
11	0
4100	0
50	0
13	0
1016	0
2212	0
8	0
19	0
2	0
0	0
6	0
1108	0
319	0
0	0
2	2
171	0
559	0
1080	0
265	0
165	0
2	0
79	0
0	0
0	0
1163	0
268	0
864	0
679	0
2	0
1198	0
4539	0
353	0
712	0
49	0
86	0
538	0
2	0
89	180
1265	0
1715	0
0	0
178	0
143	0
43	0
8740	0
701	0
299	0
377	0
312	0
0	11
2	11
49	0
38	0
3	0
1689	0
73	0
164	0
30	23
250	367
2	23
372	367
81	0
19	0
105	0
3493	0
873	0
130	0
4	0
9692	15
250	0
54	0
3079	0
312	0
0	0
1	0
17	0
40	0
113	0
47	56
7	2
2918	302
8	0
97	5
1178	0
0	8
81	0
101	0
4	0
946	0
1	0
5	0
30	0
1776	0
642	0
1046	0
8	0
0	0
322	106
6	0
27	11
0	0
44	63
71	63
26	0
0	0
22	0
48	0
22	0
0	0
0	0
193	0
3861	512
12	0
23	0
46	0
16	0
105	0
91	0
2256	0
15	0
78	0
9	2
2964	0
111	1
0	8
39	68
0	0
24	0
4	0
154	0
1449	0
0	6
0	6
8	0
1	16
2	0
0	2
8	0
0	0
177	0
1	0
36	0
19	0
153	1
87	0
891	0
0	6
0	0
0	47
44	47
327	0
55	0
4	0
97	0
532	0
12	0
294	0
259	0
0	0
174	0
0	0
359	0
1	0
3	0
3	0
186	19
6	0
8	0
50	0
4294	0
14	0
18	0
40	0
9	26
97	0
47	0
159	0
34	0
21	0
39	0
349	0
83	0
1889	0
0	0
62	47
2647	0
1865	0
73	0
393	0
18	0
43	0
4045	0
285	0
77	0
1090	0
0	208
70	208
0	0
1	0
635	0
69	0
2399	0
183	0
47	91
0	91
40	0
73	0
338	0
26	0
93	0
52	0
36	0
1726	0
156	0
108	0
149	0
28	0
310	0
111	0
499	0
7	0
7	0
203	0
0	0
389	0
369	0
350	0
46	0
12	0
16	14
5	1
0	0
0	0
0	0
0	1
0	0
1	1
1311	669
0	165
5	165
56	42
10	1
15	13
209	0
307	0
134	0
43	0
4	0
1	0
0	0
36	0
9892	0
2	1
220	0
3409	0
375	0
425	0
43	0
24	36
0	36
5	0
11	1
0	1
665	0
0	0
28	16
97	0
215	0
804	0
101	0
5	0
0	0
275	0
37175	11
35	0
1680	0
31	0
47	0
34	51
69	0
99	0
320	0
2630	0
106	0
14	0
0	0
0	0
185	0
282	0
0	0
0	0
70	26
8	0
14	0
71	0
26	0
1676	0
19	2
4	0
120	0
0	0
12849	758
243	0
2	0
5	0
33	0
46	5
115	217
0	117
44	55
2	0
0	40
30	40
71	0
60	0
87	0
59	0
11674	1
30	1
323	0
117	0
1945	726
91	0
31	29
0	29
607	0
584	0
1	0
17	0
39	0
41	41
0	41
243	0
539	0
10	0
107	0
1690	0
144	0
11	0
0	0
3	0
891	0
427	0
276	0
214	0
172	0
217	0
179	0
3506	0
40	0
71	0
1060	0
112	0
25	0
164	0
184	0
2732	0
0	93
0	55
56	93
58	0
69	0
16	0
354	0
206	0
178	0
175	0
179	0
280	0
1014	0
146	0
364	0
2557	0
509	0
3207	0
2	0
145	0
433	0
392	0
11	0
401	0
98	0
1140	0
6	0
1971	0
