UniqueCount	AmbigCount
136	0
545	0
52	0
1	0
17	0
1708	0
0	0
0	0
0	0
0	0
0	0
104	0
301	4
595	0
18	0
5626	0
0	34
7	42
0	42
0	34
121	0
683	0
862	0
56	29
2	1
1	0
0	2
0	156
47	92
92	242
14	0
4	0
12	0
846	0
274	0
529	0
520	0
264	0
1106	0
632	0
350	0
227	0
255	1
63	0
1801	0
6	3
1	0
15	19
0	13
527	86
0	0
37	17
2	0
0	0
0	0
0	0
0	0
128	0
7158	0
3623	0
13	0
484	9
447	0
3	0
254	0
302	0
185	0
1321	0
138	27
2	0
134	512
0	367
91	56
0	229
0	0
120	512
38	367
159	56
345	229
1836	0
277	0
11	0
0	25
3	14
1901	0
191	0
142	0
593	0
84	0
74	0
54	0
243	0
275	0
375	0
45	0
93	0
970	0
0	0
150	0
222	0
0	0
18	0
369	0
24	0
210	0
82	0
3	0
7	0
4	0
28	5
3	1
2	1
252	0
378	0
193	0
110	0
28	0
39	149
0	149
0	0
17	0
0	1454
1140	1454
6	0
24	0
0	0
0	0
101	0
99	0
704	0
117	0
4	0
1236	0
568	0
857	0
767	0
283	0
234	187
0	187
0	0
11	0
76	0
711	0
124	0
325	0
402	0
249	0
7	0
12	0
423	0
67	0
5	16
4	74
16	5
749	10
293	10
102	0
13	0
79	0
84	0
11	0
3441	0
3253	0
477	0
217	0
122	0
322	0
112	0
208	0
71	0
3	0
422	0
1219	0
724	0
13	0
144	0
13	0
137	0
2	0
0	0
0	0
19	0
97	0
96	0
0	0
8	10
127	0
50	0
13590	0
130	0
7366	0
3	221
0	221
3034	0
237	0
8	0
384	0
332	0
242	0
47	0
113	0
23	0
127	0
218	29
0	4
0	5
2377	1
1	0
636	0
585	0
0	0
72	0
4311	0
330	0
51	0
162	0
193	0
262	0
52	0
105	0
411	0
326	0
0	0
0	0
0	0
54	0
0	0
32	0
6028	0
73	0
117	0
54	0
425	0
1416	0
1	0
0	0
885	0
2840	71
12	2
14	2
83	8
6	1
8	8
5	5
40	195
2	2
131	0
287	0
398	0
24	0
212	0
0	0
2	6
733	0
575	0
14	4
32	2
0	1
17	69
18984	0
470	0
155	0
27	0
333	0
2027	0
91	0
632	0
10	17
0	1
63	0
2513	0
421	0
164	154
0	145
401	0
190	0
82	0
488	0
394	0
619	0
701	0
441	3
62	0
47	0
74	0
20	0
168	0
20	0
2043	0
120	0
