UniqueCount	AmbigCount
140	0
100	0
15	0
0	0
8	1
549	0
0	0
0	0
0	0
0	0
0	0
172	0
470	13
46	0
3	0
4150	0
0	18
1	22
0	22
0	18
847	0
36	0
55	0
13	10
12	0
1	11
0	0
0	24
17	43
297	840
25	0
1	0
2	0
1042	0
894	0
110	0
1285	0
335	0
1382	0
608	0
279	0
309	0
213	1
584	0
5358	0
13	2
0	0
9	3
0	3
154	33
0	0
174	128
4	0
0	0
0	0
0	0
0	0
441	0
5314	0
4438	0
1	0
342	21
376	0
3	3
146	0
42	0
19	0
1138	0
103	20
0	0
116	460
0	29
136	140
0	217
0	0
112	460
4	29
317	141
331	217
3300	0
21	0
4	0
0	32
2	18
2101	0
229	0
2	0
80	0
2	0
10	0
109	0
266	0
106	0
345	0
14	0
2	0
407	0
0	0
77	0
55	0
0	0
36	0
1213	0
1	0
34	0
3	0
7	0
173	0
0	0
185	6
0	1
25	1
1846	0
326	0
112	0
180	0
46	0
0	0
0	0
0	0
25	0
0	1424
1018	1424
0	0
75	0
0	0
0	0
98	0
1	0
380	0
25	0
1	0
360	0
1170	0
209	0
1357	0
26	0
881	956
0	956
0	0
677	0
1651	0
3020	0
21	0
103	0
196	0
59	0
5	0
5	0
254	0
351	0
12	35
2	28
0	0
481	3
225	3
136	0
27	0
14	0
26	0
15	0
822	0
1126	0
424	0
494	0
556	0
454	2
485	0
257	0
17	0
8	0
61	0
594	0
274	0
12	0
12	0
0	0
41	0
0	0
0	0
0	0
4	0
1232	0
55	0
0	0
2	7
178	0
83	0
2543	0
247	0
6228	0
4	106
0	106
17244	0
96	0
134	0
8161	0
515	0
65	0
7	0
143	0
11	0
277	0
164	17
0	2
1	2
131	0
2	0
317	0
1119	0
0	0
35	2
2602	0
147	0
21	0
3	0
513	0
236	0
11	0
5	0
53	0
388	0
0	0
0	0
0	0
431	0
0	0
68	0
639	0
29	0
116	0
1	0
208	0
129	0
0	0
0	0
644	0
397	5
11	1
3	1
22	0
11	4
0	1
0	0
21	68
0	0
18	0
117	0
58	0
1	0
126	0
0	0
5	17
159	0
8	0
14	3
3	0
0	0
147	335
12933	0
414	0
95	0
22	0
214	0
719	0
81	0
632	0
3	4
0	0
263	0
676	0
234	0
274	335
0	316
800	0
186	0
103	0
364	0
313	0
8201	0
767	0
207	2
46	0
6	0
196	0
7	0
30	0
14	0
414	0
58	0
894	0
17	0
1	0
672	0
691	0
31	0
197	0
12227	0
0	0
595	0
4	0
10	0
52	66
0	66
393	0
613	0
40	0
45	0
62	0
42	0
22	0
0	0
0	0
0	0
0	0
815	0
42	0
53	0
38	0
968	10
2660	11
881	0
0	0
0	0
4	132
17	1
21	1
0	0
203	68
65	0
110	5
59	9
0	0
2	0
1989	0
815	0
0	0
0	0
109	0
1542	0
19	0
152	0
1512	0
0	1
13831	0
401	116
98	59
10	7
0	1
0	0
0	0
66	0
10	0
5	0
12	0
37	0
349	0
22	0
8	0
5	0
27	0
30	0
97	1
468	1
72	62
129	25
51	0
268	0
3	0
555	0
22	0
