UniqueCount	AmbigCount
141	0
164	0
59	0
1	0
5	0
1176	0
0	0
0	0
0	0
0	0
0	0
128	0
328	2
126	0
4	0
3851	0
0	22
3	27
0	27
0	22
1193	0
44	0
115	0
42	11
20	10
10	5
0	0
0	63
72	181
181	583
11	0
21	0
16	0
942	0
715	0
403	0
1034	0
161	0
722	0
561	0
311	0
184	0
258	4
330	0
2161	0
4	6
1	0
10	7
0	6
310	90
0	0
107	63
5	0
0	0
0	0
0	0
0	0
565	0
5891	0
8413	0
0	0
573	11
269	0
1	0
58	0
17	0
284	0
1431	0
123	25
1	0
56	119
0	28
410	371
0	335
0	0
34	119
2	28
930	371
669	335
4168	0
196	0
3	0
0	116
2	91
2206	0
243	0
0	0
149	0
11	0
17	0
37	0
315	0
189	0
78	0
38	0
6	0
271	0
1	0
372	0
49	0
0	1
35	0
836	0
0	0
85	0
35	0
43	0
61	0
0	0
237	7
0	0
10	0
1171	0
80	0
37	0
80	0
18	0
0	9
0	9
0	0
19	0
0	2113
1387	2113
2	0
98	0
0	0
0	0
83	0
10	0
540	0
11	0
0	0
905	0
989	0
250	0
1182	0
46	0
215	303
0	303
0	0
297	0
195	0
174	0
34	0
228	0
460	0
69	0
7	0
16	0
153	0
87	0
14	69
17	214
20	9
2006	24
1184	24
536	0
77	0
152	0
189	0
0	0
1621	0
929	0
83	0
50	0
190	0
300	3
727	0
200	0
88	0
13	0
162	0
716	0
492	0
10	0
35	0
3	0
67	0
1	0
0	0
0	0
23	0
1469	0
53	0
0	0
2	3
115	0
75	0
12699	0
270	0
9198	0
12	343
2	343
33290	0
230	0
446	0
15140	0
149	0
125	0
27	0
89	0
408	0
62	0
338	38
0	2
1	2
729	0
2	0
164	0
323	0
0	0
52	2
2156	0
202	0
28	0
12	0
572	0
283	0
26	0
26	0
125	0
297	0
0	1
0	0
0	0
174	0
0	0
28	0
2327	0
113	0
50	0
20	0
454	0
544	0
0	0
0	0
1554	0
833	13
11	1
3	1
14	1
9	7
2	1
0	0
12	52
0	0
5	0
57	0
433	0
5	0
95	0
0	0
3	20
478	0
242	0
9	2
8	1
0	0
175	539
19925	0
790	0
60	0
11	0
215	0
1357	0
141	0
1829	0
3	22
0	1
76	0
727	0
183	0
512	690
0	648
1532	0
374	0
156	0
517	0
666	0
4939	0
569	0
127	0
141	0
52	0
423	0
22	0
110	0
10	0
1250	0
334	0
1504	0
150	0
186	0
1187	0
1478	0
56	0
1404	0
53819	0
7	0
411	0
73	0
13	0
32	48
0	48
223	0
514	0
31	0
41	0
21	0
19	0
57	0
0	0
0	0
0	0
0	0
547	0
132	0
153	0
11	0
343	6
1224	6
1048	0
0	0
0	0
2	122
77	14
74	1
0	0
74	35
44	0
166	0
311	28
1	0
0	0
1026	0
158	0
0	0
0	1
51	0
524	0
189	0
465	0
1086	0
1	0
45362	2
179	48
119	50
10	18
0	2
0	0
0	0
102	0
40	0
23	0
5	0
26	0
549	0
17	0
19	0
37	0
127	0
135	0
102	0
413	0
72	123
77	11
1	0
192	0
12	0
530	0
11	0
105	0
7	0
3	0
110	0
3	0
1	17
1	0
13261	0
30	0
129	0
54	0
73	0
102	0
2724	0
653	0
144	0
340	0
2	0
942	0
0	31
0	31
3	0
4	4
81	0
0	0
0	0
337	0
4331	0
185	0
922	0
2209	0
112	0
0	0
0	0
71	0
533	0
32	0
177	0
303	0
183	0
72	0
1034	0
374	0
1	0
36	0
2	0
136	0
1041	0
510	0
41	0
50	0
2329	0
37	0
26	0
22	0
0	0
81	0
753	0
743	0
0	0
0	0
86	0
744	0
761	0
469	0
72	0
24	0
73	0
6	36
0	36
45	0
148	0
5731	0
1329	0
3	0
1198	0
1485	0
176	0
1017	0
128	0
640	0
1632	0
29	1
47	72
164	0
1757	0
15	0
289	0
55	0
201	0
7557	0
833	0
359	0
445	0
714	0
0	13
6	13
11	0
55	0
58	0
4401	0
169	0
499	4
39	20
0	42
19	20
59	42
49	0
115	0
109	0
1564	0
736	0
249	0
4	0
9715	1
405	0
58	0
5861	0
419	0
13	0
3	0
2	0
22	0
47	0
46	68
3	1
194	47
8	0
14050	566
1025	0
6	2
