UniqueCount	AmbigCount
128	0
86	0
84	0
1	0
2	2
1996	0
0	0
0	0
0	0
0	0
1	0
70	0
370	8
88	0
6	0
4319	0
0	24
2	29
0	29
0	24
1565	0
151	0
271	0
127	51
38	22
20	23
0	0
0	50
111	183
159	392
24	0
13	0
13	0
928	0
619	0
841	0
2368	0
172	0
954	0
1467	0
605	0
438	0
364	1
423	0
7597	0
6	3
1	0
45	25
0	23
529	139
0	0
201	92
2	0
0	0
0	0
0	0
0	0
720	0
13292	1
7194	0
1	0
667	14
598	0
5	2
43	0
17	0
380	0
1981	0
223	32
15	0
38	231
0	62
375	340
0	400
0	0
54	231
2	62
707	340
927	400
5024	0
199	0
2	0
0	183
19	117
3769	0
217	0
90	0
295	0
12	0
12	0
80	0
50	0
118	0
75	0
57	0
38	0
576	0
1	0
583	0
44	0
0	0
44	0
2423	0
0	0
75	0
36	0
87	0
7	0
1	0
232	9
0	0
15	0
1319	0
115	0
45	0
53	0
46	0
0	7
0	7
0	0
29	0
0	1619
1297	1619
2	0
90	0
0	0
0	0
151	0
7	0
452	0
66	0
0	0
1092	0
847	0
372	0
944	0
70	0
384	428
0	428
0	0
190	0
780	0
650	0
567	0
361	0
504	0
1327	0
17	0
7	0
351	0
244	0
10	36
11	184
9	5
2075	15
943	15
224	0
47	0
50	0
160	0
451	0
2060	0
1793	0
155	0
83	0
268	0
449	2
1544	0
97	0
125	0
18	0
263	0
741	0
1310	0
14	0
35	0
1	0
30	0
0	0
0	0
0	0
14	0
527	0
67	0
1	0
3	1
89	0
71	0
21927	0
644	0
10810	0
7	475
2	475
34014	0
158	0
229	0
5347	0
105	0
68	0
41	0
515	0
762	0
73	0
204	37
0	5
3	6
1199	1
9	0
705	0
518	0
0	0
56	1
3169	0
315	0
79	0
125	0
903	0
483	0
33	0
188	0
129	0
399	0
0	1
0	0
0	0
184	0
0	0
15	0
2407	0
120	0
13	0
36	0
937	0
882	0
1	0
0	0
3366	0
2052	55
6	1
4	1
4	1
3	4
9	1
3	1
32	156
0	0
3	0
94	0
316	0
1	0
311	0
0	0
8	48
913	0
61	0
5	5
112	5
1	0
505	1689
41272	0
1231	0
362	0
10	0
243	0
2375	0
210	0
2710	0
8	13
0	0
87	0
691	0
253	0
447	572
0	546
1548	0
323	0
127	0
999	0
676	0
1748	0
575	0
217	0
49	0
53	0
466	0
105	0
233	0
24	0
958	0
325	0
1346	0
351	0
33	0
248	0
623	0
31	0
1392	0
23531	0
4	0
216	0
225	0
6	0
20	18
0	18
118	0
247	0
92	0
50	0
19	0
51	0
81	0
0	0
0	0
0	0
0	0
928	0
116	0
459	0
41	0
1210	16
1932	17
1200	0
0	0
0	0
2	157
35	10
52	5
24	9
184	57
1001	4
97	0
296	18
6	0
1	0
352	0
102	0
0	0
0	0
86	0
2192	0
309	0
500	0
554	0
2	0
17725	2
142	23
143	85
24	27
0	1
0	0
0	0
62	0
121	0
61	0
1	0
16	0
666	0
3	0
6	0
74	0
178	0
291	0
336	0
399	0
120	128
115	7
1	0
200	0
8	0
410	0
32	0
65	0
5	0
34	0
191	0
0	0
1	18
0	0
12234	0
47	0
649	0
308	0
505	0
70	0
1682	0
731	0
485	0
1307	0
4	0
1056	0
1	20
0	20
0	0
11	4
64	0
0	0
0	0
478	0
8231	0
89	0
898	0
2104	0
63	0
0	0
0	0
69	0
1198	0
52	0
133	0
181	0
215	0
55	0
1226	0
517	0
2	0
32	0
2	0
115	3
1690	0
303	0
38	0
322	0
2872	0
90	0
33	0
40	0
0	0
38	0
1044	0
591	0
0	0
1	0
139	0
460	0
389	0
225	0
150	0
58	0
1782	0
8	94
0	94
228	0
79	0
1567	0
1011	0
0	0
1456	0
4875	0
205	0
192	0
162	0
259	0
1947	0
7	0
239	331
377	0
2966	0
14	0
413	0
193	0
219	0
16171	0
1238	0
434	0
603	0
2238	0
0	14
5	14
49	0
25	0
18	0
6710	0
637	0
281	0
27	16
0	178
4	16
177	178
64	0
61	0
245	0
5076	0
1923	0
303	0
5	0
15505	9
323	0
32	0
6222	0
681	0
8	0
5	0
6	0
30	1
48	0
40	47
3	5
627	159
9	0
3671	146
1053	0
6	3
163	0
19	0
11	0
1601	0
9	0
3	0
33	0
253	0
23	0
1212	0
38	0
0	0
387	78
55	0
125	55
0	0
64	139
169	139
24	0
4	0
25	0
57	0
5	0
0	0
0	0
168	0
1215	99
202	0
47	0
25	0
20	0
1120	0
139	0
6582	0
71	0
242	0
27	26
1610	0
12	0
17	89
58	108
0	0
239	0
6	0
926	0
769	0
0	15
12	15
8	0
15	65
21	0
0	7
21	0
1	0
352	0
36	0
118	0
87	0
311	4
204	0
318	0
38	103
18	1
0	5
8	5
140	0
99	0
5	0
301	0
1145	0
68	0
199	0
483	0
0	0
138	0
0	0
207	0
10	0
1	0
22	3
70	8
62	0
15	0
31	0
1870	0
154	0
55	0
31	0
104	51
70	0
8	0
58	0
153	0
476	0
127	0
327	0
8	0
4207	0
8	2
173	35
1537	0
1409	0
626	0
1014	0
100	0
201	0
6655	0
210	0
104	0
2107	0
0	578
127	578
0	0
6	0
291	0
806	0
5772	0
166	0
61	180
0	180
127	0
148	0
584	0
21	0
163	0
77	0
127	0
2210	0
120	0
156	0
223	0
22	0
953	0
349	0
1032	0
25	0
20	0
177	0
1	0
556	0
602	0
435	0
24	0
29	0
92	34
51	2
0	0
0	0
0	0
0	1
0	0
2	0
123	115
0	10
0	10
42	113
3	2
10	2
94	0
273	0
358	0
31	0
44	0
29	0
2	0
381	0
14142	0
4	1
143	0
3140	0
374	0
235	0
468	0
540	749
0	749
96	0
167	68
0	68
1248	0
0	0
5	4
213	0
399	0
546	0
210	0
2	0
24	0
3244	0
191457	15
195	0
1624	0
11	0
26	0
45	50
402	0
331	0
1277	0
2332	0
131	0
9	0
0	0
0	0
103	0
106	0
0	0
0	1
77	38
19	0
6	0
52	0
5	0
1660	0
46	11
0	0
82	0
0	0
125	4
146	0
7	0
9	0
61	2
99	14
68	30
0	45
39	47
26	0
0	35
39	35
86	0
6	0
131	0
232	0
19741	1
114	1
333	0
411	0
9284	5917
330	0
7	9
0	9
85	0
188	0
67	0
177	0
7	0
25	65
0	65
218	0
486	0
7	0
858	0
4382	0
97	0
70	0
0	0
1	0
302	0
348	0
4704	0
131	0
457	0
310	0
395	0
1650	0
3	0
141	0
1546	0
90	0
484	0
38	0
640	0
4522	0
0	92
0	57
85	92
246	0
40	0
329	0
401	0
419	0
91	0
30	0
37	0
239	0
1647	0
185	0
263	0
733	0
240	0
539	0
7	0
1098	0
3197	0
509	0
69	0
836	0
42	0
721	0
99	0
2478	0
41	0
603	0
20	61
0	61
5	0
10	0
93	0
1547	0
261	0
2437	0
65	282
17	0
0	12
0	19
26	282
0	9
0	4
0	38
0	0
0	0
10	5
14	0
13	0
325	0
363	0
10	0
91	0
4120	170
4	0
263	22
0	0
2615	0
1573	8804
0	8804
35	0
4388	0
2496	329
4269	0
96	0
205	0
41	0
106	0
5	0
9	0
14	34
2286	0
0	0
0	0
103	0
86	0
0	0
3	0
5	0
153	115
0	115
24	0
14	425
1	0
1	0
776	0
1954	0
1	0
5	9
164	0
80	2
1	1
7	5
131	2
2228	0
1067	0
0	0
58	0
891	444
0	444
1416	0
11870	0
2590	0
49	0
33	0
676	173
1466	0
7112	0
285	0
100	0
366	0
120	0
43	133
0	1065
39	31
15	31
1	0
0	10
0	10
9	0
92	0
9	0
134	0
88	0
0	0
0	0
253	63
163	169
76	36
305	7
317	0
21	1
223	0
332	0
2	0
5	0
34	0
3	0
128	0
105	0
170	0
0	0
9	0
0	0
502	0
2593	0
175	0
840	0
409	0
508	0
12	0
4	0
1066	0
43	0
0	0
359	0
1150	0
13	0
1	0
697	0
1776	0
1069	0
59	0
3160	0
40	0
2089	0
5362	0
48	46
0	46
0	46
199	0
4	0
315	0
1	0
1	0
9	0
467	0
32	0
23	0
31	0
36	10
19	20
0	0
3	0
244	0
0	182
63	182
384	0
1022	0
1447	0
582	0
0	0
720	0
152	0
297	0
153	0
42	0
4	1
520	0
434	0
0	0
0	0
67	0
605	0
263	0
1383	0
83	0
11511	0
181	94
0	94
321	0
2157	0
147	0
14	0
15	0
5721	0
539	0
93	0
150	0
14	0
772	0
8	0
13	0
234	0
117	0
108	0
224	0
15	0
9	0
3	0
0	54
15	54
2005	0
1228	0
0	0
367	0
18	0
658	0
58	0
103	0
