UniqueCount	AmbigCount
61	0
62	0
40	0
0	0
4	0
1092	0
0	0
0	0
0	0
0	0
0	0
95	0
168	1
39	0
0	0
3653	0
0	10
0	12
0	12
0	10
1260	0
58	0
40	0
60	27
26	12
14	8
0	3
0	42
134	198
149	344
21	0
27	0
24	0
1251	0
947	0
439	0
1704	0
81	0
645	0
591	0
314	0
645	0
197	0
694	0
10914	0
1	3
1	0
6	0
0	0
265	33
0	0
290	156
3	0
0	0
0	0
0	0
0	0
813	0
6877	0
3038	0
0	0
850	11
168	0
3	0
207	0
32	0
652	0
1002	0
78	13
2	0
17	109
0	16
680	629
0	292
0	0
28	109
2	16
1047	629
536	292
3237	0
203	0
0	0
0	311
21	141
1510	0
124	0
1	0
168	0
18	0
17	0
44	0
162	0
70	0
55	0
10	0
28	0
238	0
0	0
1100	0
38	0
0	0
10	0
1092	0
1	0
47	0
54	0
72	0
58	0
2	0
223	11
0	0
8	0
1058	0
65	0
49	0
52	0
29	0
1	8
0	8
1	0
43	0
0	1418
1649	1418
2	0
98	0
0	0
0	0
61	0
2	0
217	0
27	0
1	0
486	0
716	0
179	0
292	0
34	0
889	625
0	625
0	0
769	0
599	0
391	0
15	0
109	0
157	0
31	0
28	0
2	0
193	0
158	0
24	88
17	154
12	2
2985	11
735	11
270	0
71	0
51	0
182	0
2	0
1717	0
1408	0
51	0
22	0
77	0
193	0
527	0
48	0
47	0
12	0
42	0
159	0
815	0
15	0
14	0
0	0
16	0
0	0
0	0
0	0
26	0
3962	0
22	0
0	0
1	0
51	0
27	0
27682	0
260	0
10165	0
23	577
0	577
51873	0
195	0
405	0
19269	0
104	0
36	0
13	0
163	0
515	0
62	0
392	60
0	9
2	9
453	0
4	0
152	0
484	0
0	0
17	0
1872	0
144	0
10	0
2	0
445	0
262	0
26	0
14	0
32	0
181	0
0	0
0	0
0	0
73	0
0	0
25	0
2307	0
22	0
65	0
19	0
752	0
934	0
0	0
0	0
600	0
1474	50
1	1
7	1
9	0
3	1
2	3
0	0
84	264
0	2
24	0
30	0
137	0
7	0
201	0
0	0
2	58
597	0
123	0
5	4
16	1
0	0
141	492
29316	0
757	0
48	0
9	0
184	0
1429	0
278	0
3106	0
32	13
0	0
61	0
314	0
224	0
456	413
0	381
1008	0
252	0
83	0
680	0
1179	0
7846	0
188	0
89	2
24	0
31	0
164	0
15	0
78	0
8	0
1426	0
120	0
845	0
775	0
484	0
1111	0
951	0
17	0
1677	0
33969	0
6	0
227	0
32	0
7	0
50	49
0	49
121	0
554	0
52	0
31	0
17	0
51	0
46	0
0	0
0	0
0	0
0	0
794	0
41	0
84	0
19	0
463	4
670	4
831	0
0	0
0	0
6	147
45	2
35	3
0	0
342	74
17	0
118	1
245	20
1	0
0	0
1537	0
94	0
0	0
0	0
133	0
1441	0
452	0
145	0
698	0
1	1
35381	1
89	15
87	39
7	10
0	1
0	0
0	0
41	0
60	0
33	0
1	0
30	0
507	0
5	0
21	0
36	0
202	0
99	0
45	0
369	0
69	75
34	8
54	0
117	0
5	0
454	0
16	0
50	0
1	0
7	0
84	0
1	0
0	31
1	0
11685	0
17	0
234	0
151	0
374	0
43	0
925	0
717	0
209	0
972	0
7	0
838	0
0	31
0	31
0	0
8	1
56	0
0	0
0	0
443	0
5770	0
119	0
551	0
2395	0
211	0
0	0
0	0
235	0
1166	0
26	0
54	0
52	0
129	0
14	0
1339	0
884	0
0	0
35	0
5	0
45	2
808	0
397	0
47	0
44	0
2305	0
23	0
42	0
31	0
0	0
304	0
442	0
198	0
0	0
1	0
36	0
735	0
333	0
101	0
54	0
11	0
47	0
2	24
0	24
72	0
41	0
3899	0
600	0
0	0
961	0
2090	0
165	0
221	0
60	0
124	0
1088	0
32	3
124	173
199	0
1538	0
22	0
166	0
16	0
151	0
5178	0
322	0
169	0
425	0
2880	0
0	8
2	8
42	0
61	0
75	0
4654	0
1314	0
111	1
20	7
0	36
3	7
89	36
23	0
94	0
164	0
2674	0
778	0
219	0
1	0
23266	5
485	0
10	0
5579	0
353	0
3	0
1	0
1	0
12	0
15	0
23	33
0	0
291	43
4	0
12470	443
423	0
4	1
146	0
0	0
5	0
431	0
15	0
17	0
40	0
239	0
7	0
665	0
23	0
0	0
243	110
288	0
110	54
0	0
33	90
14	90
2	0
7	0
11	0
32	0
37	0
0	0
0	0
195	0
993	68
1448	0
258	0
8	0
106	0
415	0
38	0
7457	0
350	0
111	0
3	1
628	0
19	0
1	11
298	326
0	0
83	0
3	0
2	0
736	0
0	20
9	20
38	0
4	35
62	0
1	21
5	0
0	0
152	0
5	0
130	0
194	0
451	2
117	0
119	0
47	136
110	11
0	1
1	1
123	0
44	0
2	0
166	0
707	0
23	0
95	0
423	0
0	0
102	0
0	0
59	0
1	0
0	0
55	0
67	5
77	0
7	0
35	0
2914	0
235	0
18	0
24	0
22	17
67	0
13	0
37	0
28	0
12	0
9	0
164	0
19	0
1174	0
19	0
664	166
982	0
695	0
484	0
884	0
38	0
420	0
6585	0
203	0
139	0
1715	0
0	187
88	187
1	0
13	0
164	0
665	0
6604	0
205	0
55	91
0	91
52	0
68	0
576	0
20	0
220	0
29	0
50	0
1342	0
59	0
49	0
162	0
25	0
838	0
391	0
808	0
5	0
5	0
25	0
0	0
388	0
204	0
227	0
1	0
29	0
22	8
14	0
0	0
0	0
0	0
0	0
0	0
3	0
124	111
0	3
0	3
3	17
11	4
3	2
340	0
330	0
307	0
6	0
18	0
6	0
