UniqueCount	AmbigCount
1545	0
103	0
64	0
0	0
2	0
1720	0
0	0
0	0
0	0
0	0
0	0
59	0
205	1
137	0
2	0
5249	0
0	23
1	26
0	26
0	23
1088	1
135	0
303	0
356	167
20	2
6	6
0	0
0	68
125	248
237	642
4	0
43	0
33	0
920	0
497	0
684	0
2328	0
145	0
966	0
1034	0
344	0
74	0
211	1
93	0
670	0
8	1
0	0
19	12
0	10
344	73
0	0
114	42
5	0
0	0
0	0
0	0
0	0
598	0
7473	0
4873	0
1	0
440	6
319	0
4	1
79	0
19	0
1179	0
1197	0
104	38
0	0
85	288
0	40
419	417
0	261
0	0
79	288
2	40
906	417
531	261
4593	0
321	0
0	0
0	140
6	85
2370	0
142	0
38	0
219	0
19	0
22	0
65	0
111	0
79	0
80	0
21	0
46	0
372	0
1	0
961	0
41	0
0	0
3	0
1163	0
4	0
115	0
80	0
13	0
7	0
2	0
175	4
2	0
10	0
1177	0
102	0
24	0
26	0
36	0
6	12
0	12
0	0
251	0
0	1473
1178	1473
2	1
100	0
0	0
0	0
119	0
6	0
344	0
86	0
0	0
1212	0
734	0
274	0
560	0
58	0
388	489
0	489
0	0
289	0
836	0
483	0
632	0
945	0
221	0
1338	0
8	0
1	0
231	0
195	0
13	54
11	70
22	4
2556	24
1194	24
225	0
46	0
55	0
130	0
5	0
2019	0
2213	0
309	0
63	0
241	0
305	1
569	0
60	0
71	0
64	0
75	0
308	0
2242	0
14	0
63	0
5	0
30	0
1	0
0	0
0	0
36	0
562	0
84	0
0	0
0	4
56	0
27	0
22608	0
378	0
12188	0
61	1143
8	1143
32291	0
401	0
317	0
5111	0
106	0
71	0
65	0
333	0
1035	0
25	0
212	28
0	8
6	8
478	0
2	0
618	0
143	0
0	0
32	1
3187	0
221	0
35	0
18	0
431	0
153	0
26	0
119	0
121	0
189	0
0	0
0	0
0	0
86	0
0	0
12	0
1813	0
77	0
13	0
31	0
1171	0
1016	0
0	0
0	0
1243	0
2266	54
67	5
63	5
53	4
3	2
16	5
12	5
17	71
0	1
19	0
56	0
228	0
7	0
333	0
0	0
3	58
496	0
194	0
13	6
62	1
0	0
252	927
23710	0
653	0
667	0
21	0
247	0
1550	0
200	0
2659	0
14	29
0	0
70	0
739	0
170	0
338	467
