UniqueCount	AmbigCount
171	0
77	0
14	0
0	1
58	4
958	0
0	0
0	0
0	0
0	0
0	0
284	0
827	7
62	0
4	0
3375	0
0	7
1	10
0	10
0	7
1774	0
29	0
201	0
25	16
26	6
5	5
0	0
0	17
36	77
201	611
29	0
1	0
4	0
761	0
2102	0
203	0
836	0
520	0
827	0
544	0
274	0
689	0
294	1
1566	0
6700	0
5	4
0	0
7	1
0	1
174	44
0	0
517	281
1	0
0	0
0	0
0	0
0	0
637	0
7222	1
7841	0
1	0
731	35
624	0
6	4
116	0
186	0
35	0
1346	0
163	50
17	0
31	134
0	17
170	175
0	184
0	0
29	134
2	17
365	175
309	184
6065	0
10	0
1	0
0	21
1	16
1554	0
287	0
6	0
68	0
3	0
88	0
23	0
137	0
215	0
196	0
2	0
6	0
681	0
1	0
152	0
47	0
0	0
12	0
1204	0
0	0
140	0
5	0
97	0
208	0
1	0
120	13
2	0
14	0
1026	0
162	0
71	0
193	0
162	0
8	20
0	20
1	0
41	0
0	2364
1871	2364
1	0
122	0
0	0
0	0
46	0
3	0
330	0
60	0
0	0
1581	0
1125	0
240	0
1358	0
36	0
391	437
0	437
0	0
240	0
1141	0
1736	0
104	0
71	0
396	0
154	0
4	0
3	0
270	0
597	0
10	26
10	37
0	0
236	1
114	1
83	0
16	0
12	0
35	0
30	0
3258	0
3063	0
272	0
676	0
864	0
1087	4
201	0
328	0
74	0
3	0
93	0
3577	0
1519	0
10	0
8	0
0	0
41	0
1	0
0	0
0	0
1	0
231	0
27	0
0	0
1	0
147	0
85	0
8027	0
501	0
15011	0
2	165
0	165
14459	0
121	0
683	0
5380	0
294	0
34	0
31	0
203	0
5	0
1302	0
559	92
0	1
0	1
1412	0
8	0
651	0
232	0
0	0
52	0
3483	0
210	0
10	0
3	0
854	0
358	0
45	0
11	0
113	0
881	0
0	0
0	0
0	0
75	0
0	0
33	0
3004	0
44	0
506	0
5	0
216	0
199	0
3	0
0	0
933	0
424	16
12	1
11	1
20	1
4	1
0	2
0	0
13	47
1	0
6	0
100	0
137	0
20	0
123	0
0	0
5	34
431	0
16	0
6	3
4	1
0	1
114	358
24241	0
1149	0
209	0
47	1
336	0
2393	0
227	0
450	0
17	21
0	0
48	0
388	0
127	0
266	347
0	326
1112	0
273	0
142	0
625	0
391	0
12622	0
387	0
280	3
22	0
18	0
50	0
2	0
161	0
16	0
1072	0
51	0
1081	0
20	0
6	0
1287	0
514	0
116	0
305	0
8536	0
3	0
748	0
0	0
7	0
246	203
0	203
227	0
1156	0
91	0
49	0
145	0
101	0
20	0
0	0
0	0
0	0
0	0
151	0
25	0
96	0
12	0
652	19
1038	19
1403	0
0	0
0	0
0	157
8	1
28	0
0	0
242	73
213	1
322	10
126	14
2	0
0	0
2624	0
628	0
0	0
0	0
77	0
3161	0
28	0
135	0
1952	0
0	0
13356	0
636	100
177	93
16	11
0	0
0	0
0	0
79	0
17	0
7	0
3	0
56	0
639	0
4	0
17	0
32	0
28	0
33	0
232	0
908	0
32	38
73	19
58	0
212	0
3	0
1322	0
31	0
15	0
5	0
19	0
216	0
5	0
2	14
2	3
5937	0
20	0
23	0
21	0
38	0
49	0
2127	0
538	0
26	0
68	0
3	0
834	0
0	19
0	19
5	0
18	15
92	0
0	0
0	0
412	0
7492	0
142	0
768	0
859	0
661	0
0	0
0	0
2	0
1207	0
2	0
146	0
136	0
173	0
40	0
1006	0
443	0
3	0
19	0
32	0
573	10
531	0
795	0
261	0
56	0
1208	0
6	0
11	0
1	0
0	0
1	0
881	0
1039	0
0	0
0	0
57	0
441	0
504	0
409	0
189	0
3	0
236	0
1	0
0	0
30	0
85	0
37415	0
1286	0
1	0
2584	0
833	0
188	0
282	0
194	0
1019	0
1912	0
122	2
0	0
199	0
3981	0
0	0
319	0
39	0
1248	0
13474	0
1093	0
443	0
347	0
2571	0
0	23
4	23
87	0
97	0
523	0
7968	0
1959	0
155	1
9	9
0	20
4	9
23	20
15	0
95	0
211	0
5375	0
1138	0
217	0
0	0
1460	1
284	0
4	0
2407	0
198	0
0	0
3	0
0	0
5	0
7	0
48	65
1	0
555	105
22	0
15	1
849	0
4	7
505	0
3	0
10	0
638	0
0	0
1	0
15	0
100	0
39	0
3345	0
78	0
0	0
254	78
9	0
108	62
0	0
7	19
0	19
4	0
1	0
264	0
61	0
35	0
0	0
0	0
170	0
1759	181
809	0
1106	0
204	0
33	0
90	0
123	0
4236	0
33	0
364	0
15	8
1877	0
24	0
1	27
6	6
0	0
186	0
2	0
20	0
837	0
1	38
22	38
19	0
9	19
86	0
1	15
5	0
0	0
992	0
4	0
68	0
76	0
85	2
600	0
234	0
6	6
0	0
0	0
0	0
54	0
72	0
3	0
244	0
897	0
113	0
71	0
433	0
3	0
199	0
1	0
2	0
1	0
0	0
214	1
98	2
200	0
1	0
2	0
111	0
8	0
27	0
29	0
12	16
69	0
19	0
166	0
156	0
173	0
92	0
329	0
39	0
344	0
103	1
584	150
633	0
1550	0
191	0
1151	0
80	0
1384	0
12920	0
149	0
113	0
2588	0
0	541
173	541
2	0
2	0
145	0
674	0
2282	0
183	0
23	94
0	94
67	0
57	0
632	0
8	0
180	0
6	0
31	0
266	0
141	0
132	0
78	0
8	0
2139	0
164	0
2378	0
7	0
9	0
3	0
1	0
414	0
458	0
417	0
0	0
35	0
43	23
22	0
0	0
0	0
0	0
0	0
0	0
7	1
128	86
0	9
0	9
20	33
39	10
16	0
20	0
25	0
317	0
3	0
32	0
141	0
7	0
44	0
8702	0
1	0
297	0
4410	0
458	0
250	0
409	0
48	45
0	45
9	0
18	15
0	15
1319	0
0	0
12	6
190	0
458	0
177	0
92	0
5	0
18	0
350	0
43652	10
1756	0
1343	0
19	0
71	0
17	16
323	0
326	1
1605	0
74	0
112	0
7	0
0	0
0	0
92	0
110	0
0	0
0	0
89	23
101	0
16	0
72	0
8	0
1549	0
1251	185
6	0
67	0
0	0
89	4
39	0
3	0
1	0
34	0
78	5
6	5
0	0
62	83
29	0
0	119
100	119
249	0
9	0
114	0
111	0
535	0
13	0
49	0
936	0
4660	2559
101	0
0	1
0	1
3	0
358	0
81	0
331	0
14	0
9	22
0	22
145	0
37	0
3	0
696	0
3150	0
40	0
72	0
0	0
3	0
251	0
498	0
1714	0
96	0
614	0
251	0
27	0
1574	0
2	0
189	0
1499	0
26	0
92	0
14	0
563	0
4518	0
0	109
0	72
59	109
379	0
5	0
25	0
153	0
784	0
97	0
128	0
113	0
210	0
1215	0
18	0
73	0
15	0
50	0
303	0
5	0
1458	0
2850	0
523	0
58	0
50	0
3	0
51	0
19	0
595	0
1	0
1158	0
55	104
0	104
9	0
37	0
799	0
767	0
390	0
1987	0
90	307
79	0
0	18
0	56
26	307
0	1
0	18
0	8
0	0
0	0
18	4
18	0
2	0
231	0
251	0
0	0
6	0
2587	147
4	0
525	36
1	0
435	0
1354	6057
0	6057
9	0
2075	0
410	51
86	0
40	0
25	0
332	0
7	0
0	0
2	0
9	10
187	0
0	0
0	0
4	0
282	0
0	0
4	0
0	0
403	282
0	282
22	0
9	233
1	0
0	0
921	0
54	0
1	0
11	10
203	0
44	1
1	0
9	2
114	1
327	0
2581	0
0	0
20	0
363	220
0	220
179	0
12543	0
2635	0
153	0
9	1
234	78
349	0
5505	0
577	0
523	0
209	0
37	0
46	95
2	527
19	24
6	24
0	0
0	6
1	6
36	0
31	0
7	0
47	0
47	0
0	0
0	0
259	36
181	136
59	39
220	10
663	0
10	0
93	0
18	0
2	0
137	0
474	0
0	0
36	0
243	0
420	0
0	0
25	0
0	0
109	0
937	0
215	0
345	0
111	0
368	0
0	0
0	0
1072	0
24	0
1	0
259	0
130	0
1	0
1	0
55	0
250	0
415	0
19	0
193	0
78	0
2329	0
4285	0
73	73
0	72
0	73
216	0
1	0
6	0
0	0
2	0
1	0
29	0
6	0
33	0
1	0
11	4
2	3
0	0
0	0
46	0
0	109
47	109
309	0
1213	0
1008	0
953	0
0	0
123	0
169	0
1181	0
69	0
51	0
3	0
348	0
2104	0
0	0
0	0
112	0
535	0
302	0
826	0
28	0
3591	0
510	210
0	210
975	0
2168	0
1637	0
4	0
8	0
5670	0
43	0
41	0
7	0
10	0
2065	0
0	0
3	0
2178	0
267	0
13	0
11	0
36	0
228	0
3	0
0	340
84	340
5908	0
3953	0
0	0
698	0
2	0
172	0
15	0
519	0
575	0
43	2
13	0
3	0
0	0
149	0
1	0
327	0
27	0
114	0
1872	0
102	0
6	0
125	0
0	0
21	10
8	13
2	0
12	0
238	0
0	0
227	29
437	0
36	0
246	0
0	0
4	31
0	31
623	0
153	0
76	1
0	0
211	0
28327	0
0	0
0	0
58	0
1	0
1	0
3	5
310	0
50	0
177	0
77	7
118	7
18	0
75	0
6	0
3	0
37	0
3	0
0	0
0	0
0	27
0	0
961	0
310	0
0	0
0	0
78	0
49	0
56	0
0	0
0	0
0	0
135	0
148	0
5272	0
29	0
0	3
28	0
4	0
10222	0
215	0
31	0
94	0
26	0
147	0
14	0
25	0
476	0
3	5
58	0
2285	0
968	0
417	0
5	61
0	61
0	0
0	0
0	0
55	0
3547	0
2119	0
306	0
815	0
6	0
101	68
572	283
174	0
1	0
4	0
1	0
10	0
454	0
60	2
1	0
304	0
30	0
23	0
6	21
0	21
0	0
0	3
15	0
62	0
10	0
20	0
0	0
9	0
899	0
5	0
77	0
67	0
229	0
0	0
16	0
0	0
0	0
0	0
44	8
31	0
22	0
70	12
2487	0
239	14
15	2
2652	20
4	0
713	0
0	0
0	0
0	0
0	0
71	0
141	295
0	295
777	0
1	0
785	0
0	0
203	3
31	9
0	0
98	1
0	0
0	0
459	0
1179	0
2	2
5	0
22	11
113	52
0	16
0	0
0	0
0	0
0	0
0	0
0	0
1269	0
13	0
0	0
269	32
0	0
0	0
177	0
4	0
8	0
33	0
1	0
198	0
153	0
0	0
2	0
2	0
2	0
873	0
3	55
1	55
0	320
154	320
1786	0
5	0
2	1
0	1
168	0
70	0
611	0
0	54
66	54
0	37
61	0
873	0
6	0
1673	0
422	0
0	0
13	11
3	0
766	0
1006	0
95	0
25	0
0	0
0	0
0	0
0	0
137	0
75	0
43	0
0	0
545	0
3	0
227	0
27	0
269	1
71	0
606	0
2	0
1	0
10	0
66	0
107	0
56	0
4	0
1	0
357	0
137	0
80	0
272	0
5	0
18	0
1	2
145	2
497	0
20	0
0	0
26	0
0	0
3	0
3	0
7	0
22	0
9	0
17	0
10	0
536	0
18	0
0	0
422	0
333	47
2	0
387	0
0	0
438	736
3883	0
362	0
