padjScreen t15 t1 t3
Sro1010_g230870 1 0 0 1
Sro1053_g235830 1 0 0 1
Sro1096_g240760 1 0 0 1
Sro1124_g243820 1 0 0 1
Sro1148_g246500 1 1 1 1
Sro1205_g252250 1 0 0 1
Sro1205_g252310 1 0 0 1
Sro1252_g256250 1 0 0 1
Sro1377_g267510 1 0 0 1
Sro1416_g270870 1 0 0 1
Sro1533_g280280 1 0 0 1
Sro169_g075190 1 0 0 1
Sro181_g079200 1 0 0 1
Sro1850_g301560 1 0 0 1
Sro18_g012790 1 0 0 1
Sro196_g083630 1 0 0 1
Sro227_g092440 1 0 0 1
Sro2463_g328430 1 0 0 1
Sro2842_g338270 1 0 0 1
Sro292_g109550 1 0 0 1
Sro299_g111470 1 0 1 0
Sro2_g001700 1 0 0 1
Sro2_g001710 1 0 0 1
Sro301_g111990 1 0 0 1
Sro312_g114610 1 0 0 1
Sro319_g116240 1 0 0 1
Sro319_g116370 1 1 1 1
Sro326_g118120 1 0 0 1
Sro333_g119510 1 0 0 1
Sro336_g120280 1 0 0 1
Sro373_g129070 1 0 0 1
Sro383_g131330 1 0 0 1
Sro435_g142370 1 0 0 1
Sro460_g147510 1 0 0 1
Sro461_g147860 1 0 0 1
Sro492_g153950 1 0 0 1
Sro495_g154420 1 0 0 1
Sro524_g159900 1 0 0 1
Sro565_g167670 1 0 0 1
Sro630_g178310 1 0 0 1
Sro65_g036830 1 0 0 1
Sro6_g005520 1 0 0 1
Sro740_g195510 1 0 0 1
Sro75_g041140 1 0 0 1
Sro788_g202620 1 0 0 1
Sro821_g207390 1 0 0 1
Sro821_g207440 1 0 0 1
Sro866_g212990 1 0 0 1
Sro89_g046780 1 0 0 1
Sro924_g220830 1 0 0 1
Sro988_g228420 1 0 0 1
Sro98_g050480 1 0 0 1
