padjScreen t15 t1 t3
Sro1000_g229740 0 0 0 0
Sro1001_g229760 0 0 0 0
Sro1002_g229830 0 0 0 0
Sro1002_g229840 0 0 0 0
Sro1002_g229850 0 0 0 0
Sro1002_g229860 0 0 0 0
Sro1002_g229880 0 0 0 0
Sro1002_g229890 0 0 0 0
Sro1003_g229950 0 0 0 0
Sro1003_g229960 0 0 0 0
Sro1003_g229970 0 0 0 0
Sro1003_g230030 0 0 0 0
Sro1003_g230060 0 0 0 0
Sro1003_g230080 0 0 0 0
Sro1004_g230100 0 0 0 0
Sro1004_g230140 0 0 0 0
Sro1005_g230230 0 0 0 0
Sro1005_g230240 0 0 0 0
Sro1005_g230250 0 0 0 0
Sro1005_g230270 0 0 0 0
Sro1005_g230280 0 0 0 0
Sro1006_g230290 0 0 0 0
Sro1006_g230330 0 0 0 0
Sro1006_g230340 0 0 0 0
Sro1006_g230350 0 0 0 0
Sro1007_g230380 0 0 0 0
Sro1007_g230430 0 0 0 0
Sro1007_g230450 0 0 0 0
Sro1007_g230480 0 0 0 0
Sro1008_g230500 1 0 0 1
Sro1008_g230530 0 0 0 0
Sro1008_g230590 0 0 0 0
Sro1009_g230650 0 0 0 0
Sro1009_g230680 0 0 0 0
Sro100_g051140 0 0 0 0
Sro100_g051160 0 0 0 0
Sro100_g051180 0 0 0 0
Sro100_g051210 0 0 0 0
Sro100_g051260 0 0 0 0
Sro100_g051270 0 0 0 0
Sro100_g051410 0 0 0 0
Sro100_g051420 0 0 0 0
Sro1011_g231010 0 0 0 0
Sro1012_g231150 0 0 0 0
Sro1012_g231160 0 0 0 0
Sro1012_g231170 0 0 0 0
Sro1012_g231190 0 0 0 0
Sro1013_g231300 0 0 0 0
Sro1014_g231370 0 0 0 0
Sro1017_g231770 0 0 0 0
Sro1017_g231780 0 0 0 0
Sro1018_g231840 0 0 0 0
Sro1018_g231850 0 0 0 0
Sro1018_g231860 0 0 0 0
Sro1018_g231880 0 0 0 0
Sro1018_g231890 0 0 0 0
Sro1019_g231990 0 0 0 0
Sro1019_g232050 0 0 0 0
Sro101_g051480 0 0 0 0
Sro101_g051520 0 0 0 0
Sro101_g051820 0 0 0 0
Sro101_g051830 0 0 0 0
Sro101_g051840 0 0 0 0
Sro1020_g232120 0 0 0 0
Sro1020_g232130 0 0 0 0
Sro1021_g232240 0 0 0 0
Sro1021_g232280 0 0 0 0
Sro1022_g232360 0 0 0 0
Sro1022_g232380 0 0 0 0
