padjScreen t15 t1 t3
Sro1001_g229750 0 0 0 0
Sro1001_g229760 0 0 0 0
Sro1005_g230280 0 0 0 0
Sro1009_g230650 0 0 0 0
Sro1009_g230670 0 0 0 0
Sro1009_g230770 0 0 0 0
Sro100_g051220 0 0 0 0
Sro1010_g230780 0 0 0 0
Sro1010_g230840 0 0 0 0
Sro1012_g231170 0 0 0 0
Sro1012_g231190 0 0 0 0
Sro1012_g231210 0 0 0 0
Sro1014_g231370 0 0 0 0
Sro1014_g231420 0 0 0 0
Sro1016_g231630 0 0 0 0
Sro1016_g231640 0 0 0 0
Sro1017_g231710 0 0 0 0
Sro1017_g231750 0 0 0 0
Sro101_g051520 0 0 0 0
Sro101_g051600 0 0 0 0
Sro1022_g232380 0 0 0 0
Sro1023_g232510 0 0 0 0
Sro1024_g232600 0 0 0 0
Sro1024_g232710 0 0 0 0
Sro1024_g232720 0 0 0 0
Sro1025_g232790 0 0 0 0
Sro1027_g233060 0 0 0 0
Sro1029_g233310 0 0 0 0
Sro102_g051860 0 0 0 0
Sro102_g051890 0 0 0 0
Sro102_g052130 0 0 0 0
Sro102_g052160 0 0 0 0
Sro102_g052190 0 0 0 0
Sro102_g052230 0 0 0 0
Sro102_g052240 0 0 0 0
Sro1030_g233370 0 0 0 0
Sro1031_g233480 0 0 0 0
Sro1031_g233490 0 0 0 0
Sro1032_g233560 0 0 0 0
Sro1033_g233660 0 0 0 0
Sro1033_g233740 0 0 0 0
Sro1033_g233760 0 0 0 0
Sro1033_g233770 0 0 0 0
Sro1035_g233890 0 0 0 0
Sro1035_g233920 0 0 0 0
Sro1036_g233990 0 0 0 0
Sro1036_g234060 0 0 0 0
Sro1038_g234340 0 0 0 0
Sro1039_g234370 0 0 0 0
Sro1039_g234390 0 0 0 0
Sro103_g052280 0 0 0 0
Sro103_g052340 0 0 0 0
Sro103_g052520 0 0 0 0
Sro103_g052530 0 0 0 0
Sro1042_g234700 0 0 0 0
Sro1042_g234720 0 0 0 0
Sro104_g052730 0 0 0 0
Sro104_g052760 0 0 0 0
Sro104_g053000 0 0 0 0
Sro104_g053010 0 0 0 0
Sro104_g053030 0 0 0 0
Sro1051_g235670 0 0 0 0
Sro1051_g235760 0 0 0 0
Sro1052_g235800 0 0 0 0
Sro1055_g236010 0 0 0 0
Sro1055_g236070 0 0 0 0
Sro1056_g236160 0 0 0 0
Sro1056_g236220 0 0 0 0
Sro1057_g236250 0 0 0 0
Sro1058_g236330 0 0 0 0
Sro1059_g236470 0 0 0 0
Sro105_g053330 0 0 0 0
Sro105_g053350 0 0 0 0
Sro1060_g236600 0 0 0 0
Sro1061_g236760 0 0 0 0
Sro1061_g236790 0 0 0 0
Sro1063_g237090 0 0 0 0
Sro1067_g237370 0 0 0 0
Sro1067_g237380 0 0 0 0
Sro1068_g237480 0 0 0 0
Sro1068_g237530 0 0 0 0
Sro1069_g237600 0 0 0 0
Sro106_g053650 0 0 0 0
Sro106_g053660 1 0 0 1
Sro1072_g238050 0 0 0 0
Sro1072_g238110 0 0 0 0
Sro1073_g238180 0 0 0 0
Sro1073_g238220 0 0 0 0
Sro1074_g238330 0 0 0 0
Sro1075_g238430 0 0 0 0
Sro1078_g238800 0 0 0 0
Sro1078_g238840 0 0 0 0
Sro107_g053820 0 0 0 0
Sro107_g054000 0 0 0 0
Sro107_g054050 0 0 0 0
Sro1081_g239040 0 0 0 0
Sro1081_g239060 0 0 0 0
Sro1081_g239120 0 0 0 0
Sro1081_g239150 0 0 0 0
Sro1082_g239190 0 0 0 0
Sro1083_g239320 0 0 0 0
Sro1086_g239720 0 0 0 0
Sro1086_g239750 0 0 0 0
Sro108_g054200 0 0 0 0
Sro108_g054280 0 0 0 0
Sro108_g054330 0 0 0 0
